
Host: node_13

Timers On : Mon Feb 17 00:49:01 2025
Timers Off: Mon Feb 17 00:50:59 2025

Wall Time:      117.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.000s      0.240w      1 calls
Libint2ERI::Libint2ERI              :      1.250u      0.000s      0.749w      8 calls
JK: (A|Q)^-1                        :      7.833u      0.950s      4.840w      1 calls
JK: (A|mn)                          :      9.083u      0.133s      5.524w      4 calls
JK: (Q|mn)                          :     11.550u      0.133s      7.014w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.750s      0.461w      4 calls
HF: Form core H                     :      0.617u      0.000s      0.384w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.033w      1 calls
HF: Guess                           :      0.117u      0.000s      0.070w      1 calls
SAD Guess                           :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     90.317u     14.017s     62.899w     15 calls
JK: D                               :      0.017u      0.000s      0.009w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     90.283u     14.000s     62.878w     15 calls
JK: (Q|mn) Read                     :      0.133u      8.300s      5.088w     76 calls
JK: J                               :      5.033u      0.117s      3.073w     76 calls
JK: J1                              :      2.567u      0.067s      1.554w     76 calls
JK: J2                              :      2.367u      0.000s      1.451w     76 calls
JK: K                               :     84.417u      0.217s     50.808w     76 calls
JK: K1                              :     61.133u      0.083s     36.737w     76 calls
JK: K2                              :     23.200u      0.133s     14.049w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.009w     15 calls
HF: Form D                          :      0.000u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.683u      0.217s      0.692w     14 calls
HF: Form C                          :      0.567u      0.000s      0.348w     14 calls
Grad: V T Perturb                   :      0.867u      0.000s      0.520w      1 calls
Grad: S                             :      0.033u      0.000s      0.020w      1 calls
Grad: JK                            :     50.333u      2.317s     31.607w      1 calls
JKGrad: Amn                         :     15.233u      0.450s      9.425w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      9.550u      0.767s      6.182w      1 calls
JKGrad: UV                          :      1.783u      0.550s      1.399w      1 calls
JKGrad: ABx                         :      0.300u      0.117s      0.260w      1 calls
JKGrad: Amnx                        :     23.467u      0.400s     14.322w      1 calls
