
Host: node_13

Timers On : Sun Feb 16 23:21:31 2025
Timers Off: Sun Feb 16 23:22:00 2025

Wall Time:       28.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.133u      0.000s      0.082w      1 calls
Libint2ERI::Libint2ERI              :      0.450u      0.000s      0.261w      8 calls
JK: (A|mn)                          :      2.467u      0.033s      1.492w      1 calls
JK: (A|Q)^-1/2                      :      1.467u      0.083s      0.932w      1 calls
JK: (Q|mn)                          :      1.700u      0.017s      1.037w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.092w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w      1 calls
HF: Guess                           :      0.117u      0.017s      0.072w      1 calls
SAD Guess                           :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     22.150u      2.133s     14.553w     15 calls
JK: D                               :      0.000u      0.000s      0.003w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     22.150u      2.133s     14.545w     15 calls
JK: J                               :      1.150u      0.017s      0.697w     16 calls
JK: J1                              :      0.567u      0.017s      0.372w     16 calls
JK: J2                              :      0.567u      0.000s      0.321w     16 calls
JK: K                               :     20.700u      0.100s     12.484w     16 calls
JK: K1                              :     17.350u      0.083s     10.452w     16 calls
JK: K2                              :      3.350u      0.017s      2.030w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.003w     15 calls
HF: Form D                          :      0.000u      0.000s      0.002w     15 calls
HF: DIIS                            :      0.383u      0.100s      0.392w     14 calls
HF: Form C                          :      0.133u      0.000s      0.095w     14 calls
Grad: V T Perturb                   :      0.200u      0.000s      0.120w      1 calls
Grad: S                             :      0.000u      0.000s      0.007w      1 calls
Grad: JK                            :     11.783u      0.900s      7.635w      1 calls
JKGrad: Amn                         :      3.650u      0.383s      2.412w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      1.783u      0.067s      1.113w      1 calls
JKGrad: UV                          :      0.250u      0.083s      0.203w      1 calls
JKGrad: ABx                         :      0.117u      0.017s      0.081w      1 calls
JKGrad: Amnx                        :      5.983u      0.333s      3.787w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.133u      0.000s      0.082w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.053w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.098w      2 calls
JK: (A|mn)                          :      2.467u      0.033s      1.492w      1 calls
JK: (A|Q)^-1/2                      :      1.467u      0.083s      0.932w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (Q|mn)                          :      1.700u      0.017s      1.037w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.092w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w      1 calls
HF: Guess                           :      0.117u      0.017s      0.072w      1 calls
| SAD Guess                         :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     22.150u      2.133s     14.553w     15 calls
