
Host: node_13

Timers On : Sun Feb 16 23:23:58 2025
Timers Off: Sun Feb 16 23:24:15 2025

Wall Time:       16.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.133u      0.000s      0.082w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.150w      4 calls
JK: (A|mn)                          :      2.450u      0.017s      1.476w      1 calls
JK: (A|Q)^-1/2                      :      1.400u      0.067s      0.891w      1 calls
JK: (Q|mn)                          :      1.733u      0.017s      1.048w      1 calls
HF: Form core H                     :      0.133u      0.017s      0.088w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      1 calls
HF: Guess                           :      0.100u      0.017s      0.072w      1 calls
SAD Guess                           :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     16.383u      1.550s     10.743w     11 calls
JK: D                               :      0.000u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     16.383u      1.550s     10.737w     11 calls
JK: J                               :      0.817u      0.033s      0.518w     12 calls
JK: J1                              :      0.450u      0.033s      0.279w     12 calls
JK: J2                              :      0.367u      0.000s      0.236w     12 calls
JK: K                               :     15.300u      0.033s      9.208w     12 calls
JK: K1                              :     12.817u      0.017s      7.706w     12 calls
JK: K2                              :      2.483u      0.017s      1.500w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.002w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.300u      0.117s      0.304w     10 calls
HF: Form C                          :      0.117u      0.000s      0.072w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.133u      0.000s      0.082w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.054w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.096w      2 calls
JK: (A|mn)                          :      2.450u      0.017s      1.476w      1 calls
JK: (A|Q)^-1/2                      :      1.400u      0.067s      0.891w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (Q|mn)                          :      1.733u      0.017s      1.048w      1 calls
HF: Form core H                     :      0.133u      0.017s      0.088w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      1 calls
HF: Guess                           :      0.100u      0.017s      0.072w      1 calls
| SAD Guess                         :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     16.383u      1.550s     10.743w     11 calls
| JK: D                             :      0.000u      0.000s      0.002w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     16.383u      1.550s     10.737w     11 calls
| | JK: J                           :      0.817u      0.033s      0.518w     12 calls
| | | JK: J1                        :      0.450u      0.033s      0.279w     12 calls
| | | JK: J2                        :      0.367u      0.000s      0.236w     12 calls
| | JK: K                           :     15.300u      0.033s      9.208w     12 calls
| | | JK: K1                        :     12.817u      0.017s      7.706w     12 calls
| | | JK: K2                        :      2.483u      0.017s      1.500w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.002w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.300u      0.117s      0.304w     10 calls
HF: Form C                          :      0.117u      0.000s      0.072w     10 calls

**************************************************************************************

