
Host: node_13

Timers On : Sun Feb 16 23:30:49 2025
Timers Off: Sun Feb 16 23:30:58 2025

Wall Time:        9.41 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.046w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.119w      7 calls
DFH: initialize()                   :      2.283u      0.333s      1.566w      1 calls
DFH: AO Construction                :      0.850u      0.100s      0.564w      2 calls
DFH: AO-Met. Contraction            :      0.900u      0.183s      0.650w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.031w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      1 calls
HF: Guess                           :      0.117u      0.000s      0.068w      1 calls
SAD Guess                           :      0.117u      0.000s      0.065w      1 calls
HF: Form G                          :      3.550u      0.800s      2.616w     16 calls
JK: D                               :      0.000u      0.000s      0.002w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     16 calls
JK: JK                              :      3.550u      0.800s      2.611w     16 calls
DFH: compute_JK()                   :      3.550u      0.800s      2.610w     16 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     16 calls
DFH: compute_J                      :      1.017u      0.067s      0.635w     16 calls
DFH: compute_K                      :      2.367u      0.033s      1.460w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.017u      0.000s      0.002w     16 calls
HF: Form D                          :      0.000u      0.000s      0.001w     16 calls
HF: DIIS                            :      0.383u      0.067s      0.368w     15 calls
HF: Form C                          :      0.067u      0.000s      0.054w     15 calls
Grad: V T Perturb                   :      0.067u      0.000s      0.041w      1 calls
Grad: S                             :      0.000u      0.000s      0.003w      1 calls
Grad: JK                            :      4.583u      0.600s      3.158w      1 calls
JKGrad: Amn                         :      1.417u      0.267s      1.020w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      0.567u      0.033s      0.348w      1 calls
JKGrad: UV                          :      0.067u      0.000s      0.050w      1 calls
JKGrad: ABx                         :      0.050u      0.000s      0.035w      1 calls
JKGrad: Amnx                        :      2.483u      0.300s      1.659w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.046w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.030w      1 calls
DFH: initialize()                   :      2.283u      0.333s      1.566w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.027w      2 calls
| DFH: AO Construction              :      0.850u      0.100s      0.564w      2 calls
| DFH: AO-Met. Contraction          :      0.900u      0.183s      0.650w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.031w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      1 calls
HF: Guess                           :      0.117u      0.000s      0.068w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.065w      1 calls
HF: Form G                          :      3.550u      0.800s      2.616w     16 calls
| JK: D                             :      0.000u      0.000s      0.002w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     16 calls
| JK: JK                            :      3.550u      0.800s      2.611w     16 calls
| | DFH: compute_JK()               :      3.550u      0.800s      2.610w     16 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     16 calls
| | | DFH: compute_J                :      1.017u      0.067s      0.635w     16 calls
| | | DFH: compute_K                :      2.367u      0.033s      1.460w     16 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.017u      0.000s      0.002w     16 calls
HF: Form D                          :      0.000u      0.000s      0.001w     16 calls
HF: DIIS                            :      0.383u      0.067s      0.368w     15 calls
HF: Form C                          :      0.067u      0.000s      0.054w     15 calls
Grad: V T Perturb                   :      0.067u      0.000s      0.041w      1 calls
Grad: S                             :      0.000u      0.000s      0.003w      1 calls
Grad: JK                            :      4.583u      0.600s      3.158w      1 calls
| JKGrad: Amn                       :      1.417u      0.267s      1.020w      1 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.033w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      0.567u      0.033s      0.348w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      0.067u      0.000s      0.050w      1 calls
| JKGrad: ABx                       :      0.050u      0.000s      0.035w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :      2.483u      0.300s      1.659w      1 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.027w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Sun Feb 16 23:30:59 2025
Timers Off: Sun Feb 16 23:31:08 2025

Wall Time:        9.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.046w      1 calls
Libint2ERI::Libint2ERI              :      0.217u      0.017s      0.118w      7 calls
DFH: initialize()                   :      2.383u      0.367s      1.644w      1 calls
DFH: AO Construction                :      0.917u      0.083s      0.594w      2 calls
DFH: AO-Met. Contraction            :      0.967u      0.200s      0.701w      2 calls
HF: Form core H                     :      0.050u      0.000s      0.031w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      1 calls
HF: Guess                           :      0.117u      0.000s      0.070w      1 calls
SAD Guess                           :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :      3.750u      0.633s      2.619w     16 calls
JK: D                               :      0.000u      0.000s      0.002w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     16 calls
JK: JK                              :      3.750u      0.633s      2.614w     16 calls
DFH: compute_JK()                   :      3.750u      0.633s      2.613w     16 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     16 calls
