
Host: node_13

Timers On : Sun Feb 16 23:31:39 2025
Timers Off: Sun Feb 16 23:31:44 2025

Wall Time:        5.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.046w      1 calls
Libint2ERI::Libint2ERI              :      0.083u      0.017s      0.057w      3 calls
DFH: initialize()                   :      2.300u      0.317s      1.572w      1 calls
DFH: AO Construction                :      0.850u      0.083s      0.569w      2 calls
DFH: AO-Met. Contraction            :      0.900u      0.200s      0.651w      2 calls
HF: Form core H                     :      0.050u      0.017s      0.031w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      1 calls
HF: Guess                           :      0.117u      0.000s      0.068w      1 calls
SAD Guess                           :      0.117u      0.000s      0.066w      1 calls
HF: Form G                          :      2.367u      0.483s      1.730w     11 calls
JK: D                               :      0.000u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      2.367u      0.483s      1.727w     11 calls
DFH: compute_JK()                   :      2.367u      0.483s      1.726w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.667u      0.033s      0.419w     11 calls
DFH: compute_K                      :      1.633u      0.000s      0.964w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.017s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.300u      0.050s      0.287w     10 calls
HF: Form C                          :      0.017u      0.000s      0.035w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.046w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.030w      1 calls
DFH: initialize()                   :      2.300u      0.317s      1.572w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.027w      2 calls
| DFH: AO Construction              :      0.850u      0.083s      0.569w      2 calls
| DFH: AO-Met. Contraction          :      0.900u      0.200s      0.651w      2 calls
HF: Form core H                     :      0.050u      0.017s      0.031w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w      1 calls
HF: Guess                           :      0.117u      0.000s      0.068w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.066w      1 calls
HF: Form G                          :      2.367u      0.483s      1.730w     11 calls
| JK: D                             :      0.000u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :      2.367u      0.483s      1.727w     11 calls
| | DFH: compute_JK()               :      2.367u      0.483s      1.726w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      0.667u      0.033s      0.419w     11 calls
| | | DFH: compute_K                :      1.633u      0.000s      0.964w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
