
Host: node_13

Timers On : Mon Feb 17 01:12:38 2025
Timers Off: Mon Feb 17 01:12:46 2025

Wall Time:        8.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
Libint2ERI::Libint2ERI              :      0.183u      0.000s      0.111w      7 calls
DFH: initialize()                   :      2.050u      0.283s      1.404w      1 calls
DFH: AO Construction                :      0.833u      0.050s      0.530w      1 calls
DFH: AO-Met. Contraction            :      0.783u      0.167s      0.568w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      1 calls
HF: Guess                           :      0.100u      0.000s      0.069w      1 calls
SAD Guess                           :      0.100u      0.000s      0.066w      1 calls
HF: Form G                          :      2.767u      0.633s      2.021w     15 calls
JK: D                               :      0.017u      0.000s      0.001w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :      2.750u      0.617s      2.017w     15 calls
DFH: compute_JK()                   :      2.733u      0.617s      2.017w     15 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     15 calls
DFH: compute_J                      :      0.800u      0.017s      0.507w     15 calls
DFH: compute_K                      :      1.850u      0.033s      1.133w     15 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.001w     15 calls
HF: Form D                          :      0.000u      0.000s      0.001w     15 calls
HF: DIIS                            :      0.383u      0.050s      0.329w     14 calls
HF: Form C                          :      0.033u      0.000s      0.042w     14 calls
Grad: V T Perturb                   :      0.067u      0.000s      0.037w      1 calls
Grad: S                             :      0.000u      0.000s      0.003w      1 calls
Grad: JK                            :      4.250u      0.500s      2.900w      1 calls
JKGrad: Amn                         :      1.383u      0.233s      0.966w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      0.483u      0.017s      0.300w      1 calls
JKGrad: UV                          :      0.033u      0.017s      0.039w      1 calls
JKGrad: ABx                         :      0.067u      0.000s      0.032w      1 calls
JKGrad: Amnx                        :      2.283u      0.233s      1.506w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.040w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.026w      1 calls
DFH: initialize()                   :      2.050u      0.283s      1.404w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.023w      2 calls
| DFH: AO Construction              :      0.833u      0.050s      0.530w      1 calls
| DFH: AO-Met. Contraction          :      0.783u      0.167s      0.568w      1 calls
HF: Form core H                     :      0.033u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      1 calls
HF: Guess                           :      0.100u      0.000s      0.069w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.066w      1 calls
HF: Form G                          :      2.767u      0.633s      2.021w     15 calls
| JK: D                             :      0.017u      0.000s      0.001w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :      2.750u      0.617s      2.017w     15 calls
| | DFH: compute_JK()               :      2.733u      0.617s      2.017w     15 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     15 calls
| | | DFH: compute_J                :      0.800u      0.017s      0.507w     15 calls
| | | DFH: compute_K                :      1.850u      0.033s      1.133w     15 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.001w     15 calls
HF: Form D                          :      0.000u      0.000s      0.001w     15 calls
HF: DIIS                            :      0.383u      0.050s      0.329w     14 calls
HF: Form C                          :      0.033u      0.000s      0.042w     14 calls
Grad: V T Perturb                   :      0.067u      0.000s      0.037w      1 calls
Grad: S                             :      0.000u      0.000s      0.003w      1 calls
Grad: JK                            :      4.250u      0.500s      2.900w      1 calls
| JKGrad: Amn                       :      1.383u      0.233s      0.966w      1 calls
| | Libint2ERI::Libint2ERI          :      0.067u      0.000s      0.038w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      0.483u      0.017s      0.300w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      0.033u      0.017s      0.039w      1 calls
| JKGrad: ABx                       :      0.067u      0.000s      0.032w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :      2.283u      0.233s      1.506w      1 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.023w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Mon Feb 17 01:12:47 2025
Timers Off: Mon Feb 17 01:12:55 2025

Wall Time:        8.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.017s      0.058w      1 calls
Libint2ERI::Libint2ERI              :      0.217u      0.017s      0.127w      7 calls
DFH: initialize()                   :      2.200u      0.333s      1.525w      1 calls
DFH: AO Construction                :      0.850u      0.117s      0.567w      1 calls
DFH: AO-Met. Contraction            :      0.817u      0.167s      0.590w      1 calls
