
Host: node_13

Timers On : Mon Feb 17 01:15:56 2025
Timers Off: Mon Feb 17 01:16:32 2025

Wall Time:       36.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.293w      8 calls
JK: (A|mn)                          :      2.950u      0.083s      1.825w      1 calls
JK: (A|Q)^-1/2                      :      1.450u      0.067s      0.904w      1 calls
JK: (Q|mn)                          :      2.333u      0.117s      1.464w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.082w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.013w      1 calls
HF: Guess                           :      0.100u      0.000s      0.069w      1 calls
SAD Guess                           :      0.100u      0.000s      0.067w      1 calls
HF: Form G                          :     31.333u      2.150s     20.065w     16 calls
JK: D                               :      0.000u      0.000s      0.004w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     16 calls
JK: JK                              :     31.317u      2.150s     20.055w     16 calls
JK: J                               :      1.883u      0.083s      1.147w     32 calls
JK: J1                              :      0.933u      0.083s      0.605w     32 calls
JK: J2                              :      0.900u      0.000s      0.531w     32 calls
JK: K                               :     29.050u      0.133s     17.502w     32 calls
JK: K1                              :     24.567u      0.100s     14.809w     32 calls
JK: K2                              :      4.467u      0.033s      2.690w     32 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.033u      0.000s      0.004w     16 calls
HF: Form D                          :      0.000u      0.000s      0.002w     16 calls
HF: DIIS                            :      0.317u      0.150s      0.419w     15 calls
HF: Form C                          :      0.167u      0.017s      0.122w     15 calls
Grad: V T Perturb                   :      0.200u      0.000s      0.115w      1 calls
Grad: S                             :      0.000u      0.000s      0.007w      1 calls
Grad: JK                            :     13.750u      1.133s      9.268w      1 calls
JKGrad: Amn                         :      4.400u      0.400s      2.883w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      1.717u      0.150s      1.121w      1 calls
JKGrad: UV                          :      0.250u      0.133s      0.234w      1 calls
JKGrad: ABx                         :      0.117u      0.033s      0.085w      1 calls
JKGrad: Amnx                        :      7.233u      0.400s      4.595w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.150u      0.000s      0.092w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.061w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.113w      2 calls
JK: (A|mn)                          :      2.950u      0.083s      1.825w      1 calls
JK: (A|Q)^-1/2                      :      1.450u      0.067s      0.904w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (Q|mn)                          :      2.333u      0.117s      1.464w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.082w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.013w      1 calls
HF: Guess                           :      0.100u      0.000s      0.069w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.067w      1 calls
HF: Form G                          :     31.333u      2.150s     20.065w     16 calls
| JK: D                             :      0.000u      0.000s      0.004w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     16 calls
| JK: JK                            :     31.317u      2.150s     20.055w     16 calls
| | JK: J                           :      1.883u      0.083s      1.147w     32 calls
| | | JK: J1                        :      0.933u      0.083s      0.605w     32 calls
| | | JK: J2                        :      0.900u      0.000s      0.531w     32 calls
| | JK: K                           :     29.050u      0.133s     17.502w     32 calls
| | | JK: K1                        :     24.567u      0.100s     14.809w     32 calls
| | | JK: K2                        :      4.467u      0.033s      2.690w     32 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.033u      0.000s      0.004w     16 calls
HF: Form D                          :      0.000u      0.000s      0.002w     16 calls
HF: DIIS                            :      0.317u      0.150s      0.419w     15 calls
HF: Form C                          :      0.167u      0.017s      0.122w     15 calls
Grad: V T Perturb                   :      0.200u      0.000s      0.115w      1 calls
Grad: S                             :      0.000u      0.000s      0.007w      1 calls
Grad: JK                            :     13.750u      1.133s      9.268w      1 calls
| JKGrad: Amn                       :      4.400u      0.400s      2.883w      1 calls
| | Libint2ERI::Libint2ERI          :      0.100u      0.000s      0.061w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      1.717u      0.150s      1.121w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      0.250u      0.133s      0.234w      1 calls
| JKGrad: ABx                       :      0.117u      0.033s      0.085w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :      7.233u      0.400s      4.595w      1 calls
| | Libint2ERI::Libint2ERI          :      0.100u      0.000s      0.057w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Mon Feb 17 01:16:32 2025
