
Host: node_13

Timers On : Mon Feb 17 11:46:30 2025
Timers Off: Mon Feb 17 11:46:48 2025

Wall Time:       18.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.133u      0.017s      0.097w      1 calls
Libint2ERI::Libint2ERI              :      0.250u      0.017s      0.178w      4 calls
JK: (A|mn)                          :      2.517u      0.000s      1.503w      1 calls
JK: (A|Q)^-1/2                      :      1.450u      0.050s      0.899w      1 calls
JK: (Q|mn)                          :      2.033u      0.000s      1.222w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.095w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.017w      1 calls
HF: Guess                           :      0.100u      0.017s      0.069w      1 calls
SAD Guess                           :      0.083u      0.017s      0.067w      1 calls
HF: Form G                          :     18.117u      1.117s     11.548w     11 calls
JK: D                               :      0.000u      0.000s      0.003w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     18.117u      1.117s     11.541w     11 calls
JK: J                               :      0.950u      0.000s      0.548w     22 calls
JK: J1                              :      0.533u      0.000s      0.282w     22 calls
JK: J2                              :      0.400u      0.000s      0.260w     22 calls
JK: K                               :     16.967u      0.017s     10.216w     22 calls
JK: K1                              :     14.017u      0.017s      8.392w     22 calls
JK: K2                              :      2.950u      0.000s      1.822w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.383u      0.050s      0.666w     10 calls
HF: Form C                          :      0.150u      0.000s      0.083w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.133u      0.017s      0.097w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.063w      1 calls
Libint2ERI::Libint2ERI              :      0.167u      0.000s      0.115w      2 calls
JK: (A|mn)                          :      2.517u      0.000s      1.503w      1 calls
JK: (A|Q)^-1/2                      :      1.450u      0.050s      0.899w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (Q|mn)                          :      2.033u      0.000s      1.222w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.095w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.017w      1 calls
HF: Guess                           :      0.100u      0.017s      0.069w      1 calls
| SAD Guess                         :      0.083u      0.017s      0.067w      1 calls
HF: Form G                          :     18.117u      1.117s     11.548w     11 calls
| JK: D                             :      0.000u      0.000s      0.003w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     18.117u      1.117s     11.541w     11 calls
| | JK: J                           :      0.950u      0.000s      0.548w     22 calls
| | | JK: J1                        :      0.533u      0.000s      0.282w     22 calls
| | | JK: J2                        :      0.400u      0.000s      0.260w     22 calls
| | JK: K                           :     16.967u      0.017s     10.216w     22 calls
| | | JK: K1                        :     14.017u      0.017s      8.392w     22 calls
| | | JK: K2                        :      2.950u      0.000s      1.822w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.383u      0.050s      0.666w     10 calls
HF: Form C                          :      0.150u      0.000s      0.083w     10 calls

**************************************************************************************

Host: node_13

Timers On : Mon Feb 17 11:46:48 2025
Timers Off: Mon Feb 17 11:47:07 2025

Wall Time:       18.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.167u      0.017s      0.097w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.017s      0.180w      4 calls
JK: (A|mn)                          :      2.617u      0.017s      1.575w      1 calls
JK: (A|Q)^-1/2                      :      1.467u      0.017s      0.894w      1 calls
JK: (Q|mn)                          :      2.067u      0.017s      1.239w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.166w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.019w      1 calls
HF: Guess                           :      0.167u      0.000s      0.098w      1 calls
SAD Guess                           :      0.167u      0.000s      0.095w      1 calls
HF: Form G                          :     19.033u      1.050s     12.068w     11 calls
JK: D                               :      0.000u      0.000s      0.003w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     19.033u      1.050s     12.062w     11 calls
JK: J                               :      0.933u      0.000s      0.567w     22 calls
JK: J1                              :      0.467u      0.000s      0.294w     22 calls
JK: J2                              :      0.450u      0.000s      0.267w     22 calls
JK: K                               :     17.833u      0.017s     10.725w     22 calls
JK: K1                              :     14.783u      0.000s      8.901w     22 calls
JK: K2                              :      3.050u      0.017s      1.822w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.300u      0.150s      0.368w     10 calls
HF: Form C                          :      0.117u      0.000s      0.082w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.167u      0.017s      0.097w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.064w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.115w      2 calls
JK: (A|mn)                          :      2.617u      0.017s      1.575w      1 calls
JK: (A|Q)^-1/2                      :      1.467u      0.017s      0.894w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (Q|mn)                          :      2.067u      0.017s      1.239w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.166w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.019w      1 calls
HF: Guess                           :      0.167u      0.000s      0.098w      1 calls
| SAD Guess                         :      0.167u      0.000s      0.095w      1 calls
HF: Form G                          :     19.033u      1.050s     12.068w     11 calls
| JK: D                             :      0.000u      0.000s      0.003w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     19.033u      1.050s     12.062w     11 calls
| | JK: J                           :      0.933u      0.000s      0.567w     22 calls
| | | JK: J1                        :      0.467u      0.000s      0.294w     22 calls
| | | JK: J2                        :      0.450u      0.000s      0.267w     22 calls
| | JK: K                           :     17.833u      0.017s     10.725w     22 calls
| | | JK: K1                        :     14.783u      0.000s      8.901w     22 calls
| | | JK: K2                        :      3.050u      0.017s      1.822w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.300u      0.150s      0.368w     10 calls
HF: Form C                          :      0.117u      0.000s      0.082w     10 calls

**************************************************************************************

Host: node_13

Timers On : Mon Feb 17 11:47:07 2025
Timers Off: Mon Feb 17 11:47:26 2025

Wall Time:       18.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.150u      0.000s      0.097w      1 calls
Libint2ERI::Libint2ERI              :      0.283u      0.000s      0.180w      4 calls
JK: (A|mn)                          :      2.600u      0.000s      1.565w      1 calls
JK: (A|Q)^-1/2                      :      1.467u      0.050s      0.898w      1 calls
JK: (Q|mn)                          :      2.067u      0.017s      1.252w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.082w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w      1 calls
HF: Guess                           :      0.117u      0.017s      0.072w      1 calls
SAD Guess                           :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     18.450u      1.033s     11.709w     11 calls
JK: D                               :      0.000u      0.000s      0.003w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     18.433u      1.033s     11.702w     11 calls
JK: J                               :      0.933u      0.000s      0.571w     22 calls
JK: J1                              :      0.483u      0.000s      0.301w     22 calls
JK: J2                              :      0.433u      0.000s      0.264w     22 calls
JK: K                               :     17.250u      0.017s     10.366w     22 calls
JK: K1                              :     14.233u      0.017s      8.533w     22 calls
JK: K2                              :      3.017u      0.000s      1.831w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.350u      0.100s      0.409w     10 calls
HF: Form C                          :      0.150u      0.000s      0.085w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.150u      0.000s      0.097w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.064w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.115w      2 calls
JK: (A|mn)                          :      2.600u      0.000s      1.565w      1 calls
JK: (A|Q)^-1/2                      :      1.467u      0.050s      0.898w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (Q|mn)                          :      2.067u      0.017s      1.252w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.082w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w      1 calls
HF: Guess                           :      0.117u      0.017s      0.072w      1 calls
| SAD Guess                         :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     18.450u      1.033s     11.709w     11 calls
| JK: D                             :      0.000u      0.000s      0.003w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     18.433u      1.033s     11.702w     11 calls
| | JK: J                           :      0.933u      0.000s      0.571w     22 calls
| | | JK: J1                        :      0.483u      0.000s      0.301w     22 calls
| | | JK: J2                        :      0.433u      0.000s      0.264w     22 calls
| | JK: K                           :     17.250u      0.017s     10.366w     22 calls
| | | JK: K1                        :     14.233u      0.017s      8.533w     22 calls
| | | JK: K2                        :      3.017u      0.000s      1.831w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.350u      0.100s      0.409w     10 calls
HF: Form C                          :      0.150u      0.000s      0.085w     10 calls

**************************************************************************************

Host: node_13

Timers On : Mon Feb 17 11:47:27 2025
Timers Off: Mon Feb 17 11:47:45 2025

Wall Time:       18.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.167u      0.017s      0.097w      1 calls
Libint2ERI::Libint2ERI              :      0.283u      0.017s      0.178w      4 calls
JK: (A|mn)                          :      2.567u      0.017s      1.552w      1 calls
JK: (A|Q)^-1/2                      :      1.500u      0.050s      0.924w      1 calls
JK: (Q|mn)                          :      2.017u      0.017s      1.231w      1 calls
HF: Form core H                     :      0.117u      0.000s      0.084w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.011w      1 calls
HF: Guess                           :      0.100u      0.000s      0.070w      1 calls
SAD Guess                           :      0.100u      0.000s      0.067w      1 calls
HF: Form G                          :     18.417u      1.100s     11.723w     11 calls
JK: D                               :      0.017u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     18.383u      1.100s     11.717w     11 calls
JK: J                               :      0.967u      0.000s      0.553w     22 calls
JK: J1                              :      0.500u      0.000s      0.286w     22 calls
JK: J2                              :      0.433u      0.000s      0.260w     22 calls
JK: K                               :     17.217u      0.067s     10.381w     22 calls
JK: K1                              :     14.217u      0.050s      8.563w     22 calls
JK: K2                              :      3.000u      0.017s      1.816w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.383u      0.117s      0.421w     10 calls
HF: Form C                          :      0.117u      0.000s      0.084w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.167u      0.017s      0.097w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.017s      0.063w      1 calls
Libint2ERI::Libint2ERI              :      0.200u      0.000s      0.115w      2 calls
JK: (A|mn)                          :      2.567u      0.017s      1.552w      1 calls
JK: (A|Q)^-1/2                      :      1.500u      0.050s      0.924w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (Q|mn)                          :      2.017u      0.017s      1.231w      1 calls
HF: Form core H                     :      0.117u      0.000s      0.084w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.011w      1 calls
HF: Guess                           :      0.100u      0.000s      0.070w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.067w      1 calls
HF: Form G                          :     18.417u      1.100s     11.723w     11 calls
| JK: D                             :      0.017u      0.000s      0.002w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     18.383u      1.100s     11.717w     11 calls
| | JK: J                           :      0.967u      0.000s      0.553w     22 calls
| | | JK: J1                        :      0.500u      0.000s      0.286w     22 calls
| | | JK: J2                        :      0.433u      0.000s      0.260w     22 calls
| | JK: K                           :     17.217u      0.067s     10.381w     22 calls
| | | JK: K1                        :     14.217u      0.050s      8.563w     22 calls
| | | JK: K2                        :      3.000u      0.017s      1.816w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.383u      0.117s      0.421w     10 calls
HF: Form C                          :      0.117u      0.000s      0.084w     10 calls

**************************************************************************************

Host: node_13

Timers On : Mon Feb 17 11:47:45 2025
Timers Off: Mon Feb 17 11:48:04 2025

Wall Time:       18.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.150u      0.000s      0.096w      1 calls
Libint2ERI::Libint2ERI              :      0.300u      0.000s      0.178w      4 calls
JK: (A|mn)                          :      2.617u      0.017s      1.572w      1 calls
JK: (A|Q)^-1/2                      :      1.450u      0.050s      0.903w      1 calls
JK: (Q|mn)                          :      2.233u      0.017s      1.347w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.084w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.009w      1 calls
HF: Guess                           :      0.100u      0.017s      0.072w      1 calls
SAD Guess                           :      0.100u      0.017s      0.070w      1 calls
HF: Form G                          :     18.517u      1.117s     11.758w     11 calls
JK: D                               :      0.000u      0.000s      0.002w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     18.517u      1.117s     11.752w     11 calls
JK: J                               :      0.900u      0.000s      0.568w     22 calls
JK: J1                              :      0.483u      0.000s      0.300w     22 calls
JK: J2                              :      0.417u      0.000s      0.261w     22 calls
JK: K                               :     17.367u      0.017s     10.429w     22 calls
JK: K1                              :     14.400u      0.017s      8.648w     22 calls
JK: K2                              :      2.967u      0.000s      1.779w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.003w     11 calls
HF: Form D                          :      0.000u      0.000s      0.002w     11 calls
HF: DIIS                            :      0.317u      0.083s      0.406w     10 calls
HF: Form C                          :      0.117u      0.000s      0.083w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.150u      0.000s      0.096w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.000s      0.063w      1 calls
