
Host: node_13

Timers On : Thu Apr 17 13:03:27 2025
Timers Off: Thu Apr 17 13:05:03 2025

Wall Time:       95.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.000s      0.200w      1 calls
Libint2ERI::Libint2ERI              :      1.033u      0.000s      0.629w      8 calls
JK: (A|Q)^-1                        :      6.783u      0.550s      4.149w      1 calls
JK: (A|mn)                          :      7.800u      0.017s      4.690w      3 calls
JK: (Q|mn)                          :      9.583u      0.050s      5.776w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.268w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.328w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.026w      1 calls
HF: Guess                           :      0.117u      0.000s      0.074w      1 calls
SAD Guess                           :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :     71.767u      9.333s     48.696w     15 calls
JK: D                               :      0.017u      0.000s      0.008w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     71.733u      9.317s     48.677w     15 calls
JK: (Q|mn) Read                     :      0.150u      5.133s      3.138w     61 calls
JK: J                               :      3.583u      0.017s      2.214w     61 calls
JK: J1                              :      1.850u      0.017s      1.121w     61 calls
JK: J2                              :      1.700u      0.000s      1.050w     61 calls
JK: K                               :     67.233u      0.317s     40.537w     61 calls
JK: K1                              :     51.033u      0.300s     30.688w     61 calls
JK: K2                              :     16.200u      0.017s      9.838w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.007w     15 calls
HF: Form D                          :      0.017u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.583u      0.167s      1.447w     14 calls
HF: Form C                          :      0.467u      0.000s      0.289w     14 calls
Grad: V T Perturb                   :      0.783u      0.000s      0.467w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     42.050u      1.483s     26.312w      1 calls
JKGrad: Amn                         :     12.067u      0.367s      7.465w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      8.200u      0.383s      5.144w      1 calls
JKGrad: UV                          :      1.333u      0.300s      0.976w      1 calls
JKGrad: ABx                         :      0.283u      0.067s      0.216w      1 calls
JKGrad: Amnx                        :     20.167u      0.350s     12.311w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.317u      0.000s      0.200w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.000s      0.131w      1 calls
Libint2ERI::Libint2ERI              :      0.400u      0.000s      0.249w      2 calls
JK: (A|Q)^-1                        :      6.783u      0.550s      4.149w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.800u      0.017s      4.690w      3 calls
JK: (Q|mn)                          :      9.583u      0.050s      5.776w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.268w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.328w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.026w      1 calls
HF: Guess                           :      0.117u      0.000s      0.074w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :     71.767u      9.333s     48.696w     15 calls
| JK: D                             :      0.017u      0.000s      0.008w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     71.733u      9.317s     48.677w     15 calls
| | JK: (Q|mn) Read                 :      0.150u      5.133s      3.138w     61 calls
| | JK: J                           :      3.583u      0.017s      2.214w     61 calls
| | | JK: J1                        :      1.850u      0.017s      1.121w     61 calls
| | | JK: J2                        :      1.700u      0.000s      1.050w     61 calls
| | JK: K                           :     67.233u      0.317s     40.537w     61 calls
| | | JK: K1                        :     51.033u      0.300s     30.688w     61 calls
| | | JK: K2                        :     16.200u      0.017s      9.838w     61 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.007w     15 calls
HF: Form D                          :      0.017u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.583u      0.167s      1.447w     14 calls
HF: Form C                          :      0.467u      0.000s      0.289w     14 calls
Grad: V T Perturb                   :      0.783u      0.000s      0.467w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     42.050u      1.483s     26.312w      1 calls
| JKGrad: Amn                       :     12.067u      0.367s      7.465w      1 calls
| | Libint2ERI::Libint2ERI          :      0.217u      0.000s      0.126w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      8.200u      0.383s      5.144w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      1.333u      0.300s      0.976w      1 calls
| JKGrad: ABx                       :      0.283u      0.067s      0.216w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     20.167u      0.350s     12.311w      1 calls
| | Libint2ERI::Libint2ERI          :      0.200u      0.000s      0.123w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Thu Apr 17 13:05:03 2025
Timers Off: Thu Apr 17 13:08:08 2025

Wall Time:      184.30 seconds
