
Host: node_13

Timers On : Thu Apr 17 13:52:14 2025
Timers Off: Thu Apr 17 13:53:10 2025

Wall Time:       55.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.017s      0.201w      1 calls
Libint2ERI::Libint2ERI              :      0.600u      0.017s      0.376w      4 calls
JK: (A|Q)^-1                        :      7.183u      0.750s      4.447w      1 calls
JK: (A|mn)                          :      7.900u      0.000s      4.744w      3 calls
JK: (Q|mn)                          :      9.683u      0.017s      5.821w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.483s      0.290w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.328w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.026w      1 calls
HF: Guess                           :      0.117u      0.000s      0.075w      1 calls
SAD Guess                           :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :     52.983u      7.183s     36.146w     11 calls
JK: D                               :      0.000u      0.000s      0.006w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     52.983u      7.183s     36.130w     11 calls
JK: (Q|mn) Read                     :      0.067u      4.067s      2.494w     45 calls
JK: J                               :      2.633u      0.050s      1.624w     45 calls
JK: J1                              :      1.333u      0.050s      0.815w     45 calls
JK: J2                              :      1.250u      0.000s      0.777w     45 calls
JK: K                               :     49.667u      0.050s     29.840w     45 calls
JK: K1                              :     37.367u      0.033s     22.449w     45 calls
JK: K2                              :     12.283u      0.017s      7.382w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.006w     11 calls
HF: Form D                          :      0.000u      0.017s      0.005w     11 calls
HF: DIIS                            :      0.417u      0.167s      0.537w     10 calls
HF: Form C                          :      0.350u      0.000s      0.215w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.317u      0.017s      0.201w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.017s      0.132w      1 calls
Libint2ERI::Libint2ERI              :      0.400u      0.000s      0.244w      2 calls
JK: (A|Q)^-1                        :      7.183u      0.750s      4.447w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      7.900u      0.000s      4.744w      3 calls
JK: (Q|mn)                          :      9.683u      0.017s      5.821w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.483s      0.290w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.328w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.026w      1 calls
HF: Guess                           :      0.117u      0.000s      0.075w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :     52.983u      7.183s     36.146w     11 calls
| JK: D                             :      0.000u      0.000s      0.006w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     52.983u      7.183s     36.130w     11 calls
| | JK: (Q|mn) Read                 :      0.067u      4.067s      2.494w     45 calls
| | JK: J                           :      2.633u      0.050s      1.624w     45 calls
| | | JK: J1                        :      1.333u      0.050s      0.815w     45 calls
| | | JK: J2                        :      1.250u      0.000s      0.777w     45 calls
| | JK: K                           :     49.667u      0.050s     29.840w     45 calls
| | | JK: K1                        :     37.367u      0.033s     22.449w     45 calls
| | | JK: K2                        :     12.283u      0.017s      7.382w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.006w     11 calls
HF: Form D                          :      0.000u      0.017s      0.005w     11 calls
HF: DIIS                            :      0.417u      0.167s      0.537w     10 calls
HF: Form C                          :      0.350u      0.000s      0.215w     10 calls

**************************************************************************************

Host: node_13

Timers On : Thu Apr 17 13:53:10 2025
Timers Off: Thu Apr 17 13:55:13 2025

Wall Time:      123.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.017s      0.199w      1 calls
Libint2ERI::Libint2ERI              :      0.617u      0.017s      0.372w      4 calls
JK: (A|Q)^-1                        :      6.783u      0.600s      4.170w      1 calls
JK: (A|mn)                          :      7.633u      0.017s      4.590w      3 calls
JK: (Q|mn)                          :      9.300u      0.033s      5.609w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.467s      0.274w      3 calls
HF: Form core H                     :      0.500u      0.000s      0.313w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.017w      1 calls
HF: Guess                           :      0.117u      0.000s      0.078w      1 calls
SAD Guess                           :      0.117u      0.000s      0.074w      1 calls
HF: Form G                          :    151.517u     20.933s    103.924w     33 calls
JK: D                               :      0.000u      0.000s      0.010w     33 calls
JK: USO2AO                          :      0.150u      0.000s      0.084w     33 calls
JK: JK                              :    151.050u     20.883s    103.650w     33 calls
JK: (Q|mn) Read                     :      0.133u     11.683s      7.148w    133 calls
JK: J                               :      7.550u      0.183s      4.603w    133 calls
JK: J1                              :      3.900u      0.117s      2.323w    133 calls
JK: J2                              :      3.567u      0.033s      2.190w    133 calls
JK: K                               :    141.633u      0.233s     85.166w    133 calls
JK: K1                              :    106.333u      0.167s     63.940w    133 calls
JK: K2                              :     35.267u      0.067s     21.199w    133 calls
JK: AO2USO                          :      0.283u      0.050s      0.164w     33 calls
HF: Form F                          :      0.000u      0.000s      0.011w     33 calls
HF: Form D                          :      0.000u      0.000s      0.008w     33 calls
HF: DIIS                            :      0.817u      0.417s      0.872w     32 calls
HF: Form C                          :      0.667u      0.000s      0.395w     32 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.317u      0.017s      0.199w      1 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.017s      0.131w      1 calls
Libint2ERI::Libint2ERI              :      0.417u      0.000s      0.240w      2 calls
JK: (A|Q)^-1                        :      6.783u      0.600s      4.170w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.633u      0.017s      4.590w      3 calls
JK: (Q|mn)                          :      9.300u      0.033s      5.609w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.467s      0.274w      3 calls
HF: Form core H                     :      0.500u      0.000s      0.313w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.017w      1 calls
HF: Guess                           :      0.117u      0.000s      0.078w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.074w      1 calls
HF: Form G                          :    151.517u     20.933s    103.924w     33 calls
| JK: D                             :      0.000u      0.000s      0.010w     33 calls
| JK: USO2AO                        :      0.150u      0.000s      0.084w     33 calls
| JK: JK                            :    151.050u     20.883s    103.650w     33 calls
| | JK: (Q|mn) Read                 :      0.133u     11.683s      7.148w    133 calls
| | JK: J                           :      7.550u      0.183s      4.603w    133 calls
| | | JK: J1                        :      3.900u      0.117s      2.323w    133 calls
| | | JK: J2                        :      3.567u      0.033s      2.190w    133 calls
| | JK: K                           :    141.633u      0.233s     85.166w    133 calls
| | | JK: K1                        :    106.333u      0.167s     63.940w    133 calls
| | | JK: K2                        :     35.267u      0.067s     21.199w    133 calls
| JK: AO2USO                        :      0.283u      0.050s      0.164w     33 calls
