
Host: node_13

Timers On : Fri Apr 18 15:57:56 2025
Timers Off: Fri Apr 18 15:59:25 2025

Wall Time:       89.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.300u      0.017s      0.199w      1 calls
Libint2ERI::Libint2ERI              :      1.000u      0.017s      0.615w      8 calls
JK: (A|Q)^-1                        :      6.683u      0.583s      4.086w      1 calls
JK: (A|mn)                          :      7.883u      0.000s      4.721w      3 calls
JK: (Q|mn)                          :      9.000u      0.000s      5.404w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.417s      0.250w      3 calls
HF: Form core H                     :      0.517u      0.017s      0.320w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.025w      1 calls
HF: Guess                           :      0.117u      0.000s      0.070w      1 calls
SAD Guess                           :      0.100u      0.000s      0.068w      1 calls
HF: Form G                          :     64.683u      8.300s     43.851w     15 calls
JK: D                               :      0.000u      0.000s      0.007w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     64.683u      8.283s     43.832w     15 calls
JK: (Q|mn) Read                     :      0.083u      4.733s      2.874w     61 calls
JK: J                               :      3.767u      0.017s      2.211w     61 calls
JK: J1                              :      1.883u      0.000s      1.107w     61 calls
JK: J2                              :      1.783u      0.017s      1.063w     61 calls
JK: K                               :     60.167u      0.000s     36.160w     61 calls
JK: K1                              :     44.633u      0.000s     26.865w     61 calls
JK: K2                              :     15.467u      0.000s      9.283w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.007w     15 calls
HF: Form D                          :      0.000u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.567u      0.183s      1.495w     14 calls
HF: Form C                          :      0.433u      0.000s      0.275w     14 calls
Grad: V T Perturb                   :      0.733u      0.000s      0.442w      1 calls
Grad: S                             :      0.033u      0.000s      0.017w      1 calls
Grad: JK                            :     40.283u      1.300s     24.965w      1 calls
JKGrad: Amn                         :     11.683u      0.317s      7.209w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      7.683u      0.333s      4.808w      1 calls
JKGrad: UV                          :      1.250u      0.300s      0.936w      1 calls
JKGrad: ABx                         :      0.283u      0.067s      0.208w      1 calls
JKGrad: Amnx                        :     19.383u      0.267s     11.793w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.300u      0.017s      0.199w      1 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.017s      0.130w      1 calls
Libint2ERI::Libint2ERI              :      0.417u      0.000s      0.244w      2 calls
