
Host: node_13

Timers On : Tue Feb 25 14:14:33 2025
Timers Off: Tue Feb 25 14:15:42 2025

Wall Time:       68.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.017s      0.257w      1 calls
Libint2ERI::Libint2ERI              :      0.767u      0.017s      0.471w      4 calls
JK: (A|Q)^-1                        :      8.733u      0.750s      5.324w      1 calls
JK: (A|mn)                          :     10.117u      0.017s      6.086w      4 calls
JK: (Q|mn)                          :     12.550u      0.017s      7.527w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.550s      0.344w      4 calls
HF: Form core H                     :      0.733u      0.000s      0.449w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.033w      1 calls
HF: Guess                           :      0.117u      0.000s      0.070w      1 calls
SAD Guess                           :      0.117u      0.000s      0.067w      1 calls
HF: Form G                          :     66.883u      7.800s     45.138w     11 calls
JK: D                               :      0.000u      0.000s      0.007w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     66.883u      7.800s     45.121w     11 calls
JK: (Q|mn) Read                     :      0.133u      4.833s      2.931w     56 calls
JK: J                               :      3.117u      0.017s      1.944w     56 calls
JK: J1                              :      1.550u      0.000s      0.971w     56 calls
JK: J2                              :      1.450u      0.000s      0.927w     56 calls
JK: K                               :     63.183u      0.100s     37.968w     56 calls
JK: K1                              :     44.917u      0.033s     26.953w     56 calls
JK: K2                              :     18.233u      0.067s     11.001w     56 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.007w     11 calls
HF: Form D                          :      0.033u      0.000s      0.005w     11 calls
HF: DIIS                            :      0.533u      0.133s      0.573w     10 calls
HF: Form C                          :      0.433u      0.000s      0.255w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.017s      0.257w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.017s      0.171w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.299w      2 calls
JK: (A|Q)^-1                        :      8.733u      0.750s      5.324w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     10.117u      0.017s      6.086w      4 calls
JK: (Q|mn)                          :     12.550u      0.017s      7.527w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.550s      0.344w      4 calls
HF: Form core H                     :      0.733u      0.000s      0.449w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.033w      1 calls
HF: Guess                           :      0.117u      0.000s      0.070w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.067w      1 calls
HF: Form G                          :     66.883u      7.800s     45.138w     11 calls
| JK: D                             :      0.000u      0.000s      0.007w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     66.883u      7.800s     45.121w     11 calls
| | JK: (Q|mn) Read                 :      0.133u      4.833s      2.931w     56 calls
| | JK: J                           :      3.117u      0.017s      1.944w     56 calls
| | | JK: J1                        :      1.550u      0.000s      0.971w     56 calls
| | | JK: J2                        :      1.450u      0.000s      0.927w     56 calls
| | JK: K                           :     63.183u      0.100s     37.968w     56 calls
| | | JK: K1                        :     44.917u      0.033s     26.953w     56 calls
| | | JK: K2                        :     18.233u      0.067s     11.001w     56 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.007w     11 calls
HF: Form D                          :      0.033u      0.000s      0.005w     11 calls
HF: DIIS                            :      0.533u      0.133s      0.573w     10 calls
HF: Form C                          :      0.433u      0.000s      0.255w     10 calls

**************************************************************************************

Host: node_13

Timers On : Tue Feb 25 14:15:43 2025
Timers Off: Tue Feb 25 14:16:49 2025

Wall Time:       66.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.000s      0.249w      1 calls
Libint2ERI::Libint2ERI              :      0.767u      0.000s      0.466w      4 calls
JK: (A|Q)^-1                        :      8.650u      0.750s      5.293w      1 calls
JK: (A|mn)                          :      9.550u      0.017s      5.752w      4 calls
JK: (Q|mn)                          :     12.217u      0.050s      7.348w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.533s      0.333w      4 calls
HF: Form core H                     :      0.717u      0.000s      0.473w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.038w      1 calls
HF: Guess                           :      0.133u      0.000s      0.071w      1 calls
SAD Guess                           :      0.100u      0.000s      0.069w      1 calls
HF: Form G                          :     64.033u      7.650s     43.123w     11 calls
JK: D                               :      0.017u      0.000s      0.007w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     64.000u      7.650s     43.106w     11 calls
JK: (Q|mn) Read                     :      0.033u      4.667s      2.822w     56 calls
JK: J                               :      3.183u      0.017s      1.887w     56 calls
JK: J1                              :      1.533u      0.017s      0.939w     56 calls
JK: J2                              :      1.550u      0.000s      0.903w     56 calls
JK: K                               :     60.283u      0.083s     36.306w     56 calls
JK: K1                              :     41.883u      0.067s     25.261w     56 calls
JK: K2                              :     18.383u      0.017s     11.032w     56 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.007w     11 calls
HF: Form D                          :      0.033u      0.000s      0.005w     11 calls
HF: DIIS                            :      0.500u      0.083s      0.680w     10 calls
HF: Form C                          :      0.417u      0.000s      0.257w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.000s      0.249w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.000s      0.162w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.304w      2 calls
JK: (A|Q)^-1                        :      8.650u      0.750s      5.293w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      9.550u      0.017s      5.752w      4 calls
JK: (Q|mn)                          :     12.217u      0.050s      7.348w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.533s      0.333w      4 calls
HF: Form core H                     :      0.717u      0.000s      0.473w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.038w      1 calls
HF: Guess                           :      0.133u      0.000s      0.071w      1 calls
| SAD Guess                         :      0.100u      0.000s      0.069w      1 calls
HF: Form G                          :     64.033u      7.650s     43.123w     11 calls
| JK: D                             :      0.017u      0.000s      0.007w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     64.000u      7.650s     43.106w     11 calls
| | JK: (Q|mn) Read                 :      0.033u      4.667s      2.822w     56 calls
| | JK: J                           :      3.183u      0.017s      1.887w     56 calls
| | | JK: J1                        :      1.533u      0.017s      0.939w     56 calls
| | | JK: J2                        :      1.550u      0.000s      0.903w     56 calls
| | JK: K                           :     60.283u      0.083s     36.306w     56 calls
| | | JK: K1                        :     41.883u      0.067s     25.261w     56 calls
| | | JK: K2                        :     18.383u      0.017s     11.032w     56 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.007w     11 calls
HF: Form D                          :      0.033u      0.000s      0.005w     11 calls
HF: DIIS                            :      0.500u      0.083s      0.680w     10 calls
HF: Form C                          :      0.417u      0.000s      0.257w     10 calls

**************************************************************************************

Host: node_13

Timers On : Tue Feb 25 14:16:49 2025
Timers Off: Tue Feb 25 14:17:59 2025

Wall Time:       69.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.033s      0.256w      1 calls
