
Host: node_13

Timers On : Fri Apr 18 16:21:35 2025
Timers Off: Fri Apr 18 16:23:19 2025

Wall Time:      104.25 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.224w      1 calls
Libint2ERI::Libint2ERI              :      1.167u      0.017s      0.704w      8 calls
JK: (A|Q)^-1                        :      7.700u      0.567s      4.869w      1 calls
JK: (A|mn)                          :      8.583u      0.000s      5.139w      3 calls
JK: (Q|mn)                          :     10.217u      0.000s      6.136w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.287w      3 calls
HF: Form core H                     :      0.683u      0.000s      0.409w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.030w      1 calls
HF: Guess                           :      0.117u      0.000s      0.070w      1 calls
SAD Guess                           :      0.100u      0.000s      0.068w      1 calls
HF: Form G                          :     80.267u      8.917s     54.077w     15 calls
JK: D                               :      0.017u      0.000s      0.009w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     80.233u      8.917s     54.054w     15 calls
JK: (Q|mn) Read                     :      0.067u      5.450s      3.267w     61 calls
JK: J                               :      4.100u      0.033s      2.493w     61 calls
JK: J1                              :      2.033u      0.017s      1.251w     61 calls
JK: J2                              :      1.950u      0.000s      1.199w     61 calls
JK: K                               :     75.317u      0.000s     45.221w     61 calls
JK: K1                              :     54.367u      0.000s     32.665w     61 calls
JK: K2                              :     20.900u      0.000s     12.542w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.017s      0.009w     15 calls
HF: Form D                          :      0.000u      0.000s      0.007w     15 calls
HF: DIIS                            :      0.533u      0.200s      0.631w     14 calls
HF: Form C                          :      0.517u      0.000s      0.317w     14 calls
Grad: V T Perturb                   :      0.867u      0.000s      0.516w      1 calls
Grad: S                             :      0.033u      0.000s      0.019w      1 calls
Grad: JK                            :     45.917u      1.450s     28.438w      1 calls
JKGrad: Amn                         :     13.283u      0.317s      8.169w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      9.250u      0.383s      5.782w      1 calls
JKGrad: UV                          :      1.600u      0.350s      1.169w      1 calls
JKGrad: ABx                         :      0.300u      0.100s      0.230w      1 calls
JKGrad: Amnx                        :     21.483u      0.283s     13.074w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.017s      0.224w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.146w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.272w      2 calls
JK: (A|Q)^-1                        :      7.700u      0.567s      4.869w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      8.583u      0.000s      5.139w      3 calls
JK: (Q|mn)                          :     10.217u      0.000s      6.136w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.287w      3 calls
HF: Form core H                     :      0.683u      0.000s      0.409w      1 calls
