
Host: node_13

Timers On : Fri Apr 18 16:30:22 2025
Timers Off: Fri Apr 18 16:31:22 2025

Wall Time:       59.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.224w      1 calls
Libint2ERI::Libint2ERI              :      0.683u      0.017s      0.420w      4 calls
JK: (A|Q)^-1                        :      7.450u      0.650s      4.555w      1 calls
JK: (A|mn)                          :      8.667u      0.000s      5.209w      3 calls
JK: (Q|mn)                          :     10.217u      0.067s      6.158w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.284w      3 calls
HF: Form core H                     :      0.600u      0.000s      0.365w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.033w      1 calls
HF: Guess                           :      0.100u      0.017s      0.071w      1 calls
SAD Guess                           :      0.100u      0.017s      0.068w      1 calls
HF: Form G                          :     57.650u      6.633s     38.638w     11 calls
JK: D                               :      0.000u      0.000s      0.006w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     57.633u      6.600s     38.621w     11 calls
JK: (Q|mn) Read                     :      0.083u      3.933s      2.380w     45 calls
JK: J                               :      2.833u      0.033s      1.781w     45 calls
JK: J1                              :      1.417u      0.033s      0.897w     45 calls
JK: J2                              :      1.400u      0.000s      0.853w     45 calls
JK: K                               :     54.150u      0.100s     32.521w     45 calls
JK: K1                              :     38.933u      0.033s     23.408w     45 calls
JK: K2                              :     15.150u      0.067s      9.102w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.033u      0.000s      0.006w     11 calls
HF: Form D                          :      0.000u      0.000s      0.006w     11 calls
HF: DIIS                            :      0.450u      0.167s      0.586w     10 calls
HF: Form C                          :      0.400u      0.000s      0.232w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.017s      0.224w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.146w      1 calls
Libint2ERI::Libint2ERI              :      0.450u      0.000s      0.273w      2 calls
JK: (A|Q)^-1                        :      7.450u      0.650s      4.555w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      8.667u      0.000s      5.209w      3 calls
JK: (Q|mn)                          :     10.217u      0.067s      6.158w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.284w      3 calls
HF: Form core H                     :      0.600u      0.000s      0.365w      1 calls
