
Host: node_13

Timers On : Fri Apr 18 16:39:52 2025
Timers Off: Fri Apr 18 16:41:37 2025

Wall Time:      104.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.224w      1 calls
Libint2ERI::Libint2ERI              :      1.183u      0.017s      0.727w      8 calls
JK: (A|Q)^-1                        :      7.350u      0.683s      4.525w      1 calls
JK: (A|mn)                          :      8.417u      0.000s      5.051w      3 calls
JK: (Q|mn)                          :     10.017u      0.000s      6.013w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.283w      3 calls
HF: Form core H                     :      0.600u      0.000s      0.364w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.029w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
SAD Guess                           :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     81.950u      9.650s     55.251w     16 calls
JK: D                               :      0.033u      0.000s      0.009w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     16 calls
JK: JK                              :     81.900u      9.650s     55.226w     16 calls
JK: (Q|mn) Read                     :      0.067u      5.750s      3.471w     65 calls
JK: J                               :      4.200u      0.017s      2.573w     65 calls
JK: J1                              :      2.150u      0.017s      1.296w     65 calls
JK: J2                              :      2.017u      0.000s      1.231w     65 calls
JK: K                               :     76.917u      0.050s     46.191w     65 calls
JK: K1                              :     55.150u      0.050s     33.155w     65 calls
JK: K2                              :     21.733u      0.000s     13.022w     65 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.033u      0.017s      0.009w     16 calls
HF: Form D                          :      0.000u      0.000s      0.008w     16 calls
HF: DIIS                            :      0.617u      0.167s      0.714w     15 calls
HF: Form C                          :      0.533u      0.000s      0.332w     15 calls
Grad: V T Perturb                   :      0.867u      0.000s      0.516w      1 calls
Grad: S                             :      0.033u      0.000s      0.019w      1 calls
Grad: JK                            :     45.467u      1.433s     28.162w      1 calls
JKGrad: Amn                         :     12.867u      0.333s      7.928w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      9.567u      0.383s      5.971w      1 calls
JKGrad: UV                          :      1.550u      0.350s      1.145w      1 calls
JKGrad: ABx                         :      0.333u      0.067s      0.229w      1 calls
JKGrad: Amnx                        :     21.150u      0.283s     12.876w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.017s      0.224w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.145w      1 calls
Libint2ERI::Libint2ERI              :      0.433u      0.000s      0.273w      2 calls
JK: (A|Q)^-1                        :      7.350u      0.683s      4.525w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      8.417u      0.000s      5.051w      3 calls
JK: (Q|mn)                          :     10.017u      0.000s      6.013w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.283w      3 calls
HF: Form core H                     :      0.600u      0.000s      0.364w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.029w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     81.950u      9.650s     55.251w     16 calls
| JK: D                             :      0.033u      0.000s      0.009w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     16 calls
| JK: JK                            :     81.900u      9.650s     55.226w     16 calls
| | JK: (Q|mn) Read                 :      0.067u      5.750s      3.471w     65 calls
| | JK: J                           :      4.200u      0.017s      2.573w     65 calls
| | | JK: J1                        :      2.150u      0.017s      1.296w     65 calls
| | | JK: J2                        :      2.017u      0.000s      1.231w     65 calls
| | JK: K                           :     76.917u      0.050s     46.191w     65 calls
| | | JK: K1                        :     55.150u      0.050s     33.155w     65 calls
| | | JK: K2                        :     21.733u      0.000s     13.022w     65 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.033u      0.017s      0.009w     16 calls
HF: Form D                          :      0.000u      0.000s      0.008w     16 calls
HF: DIIS                            :      0.617u      0.167s      0.714w     15 calls
HF: Form C                          :      0.533u      0.000s      0.332w     15 calls
Grad: V T Perturb                   :      0.867u      0.000s      0.516w      1 calls
Grad: S                             :      0.033u      0.000s      0.019w      1 calls
Grad: JK                            :     45.467u      1.433s     28.162w      1 calls
| JKGrad: Amn                       :     12.867u      0.333s      7.928w      1 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.000s      0.170w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      9.567u      0.383s      5.971w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      1.550u      0.350s      1.145w      1 calls
| JKGrad: ABx                       :      0.333u      0.067s      0.229w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     21.150u      0.283s     12.876w      1 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.137w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Fri Apr 18 16:41:37 2025
Timers Off: Fri Apr 18 16:43:21 2025

Wall Time:      104.06 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.000s      0.222w      1 calls
Libint2ERI::Libint2ERI              :      1.133u      0.000s      0.689w      8 calls
JK: (A|Q)^-1                        :      7.550u      0.700s      4.630w      1 calls
JK: (A|mn)                          :      8.900u      0.000s      5.325w      4 calls
JK: (Q|mn)                          :     10.617u      0.000s      6.388w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.500s      0.301w      4 calls
HF: Form core H                     :      0.617u      0.000s      0.371w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.031w      1 calls
HF: Guess                           :      0.117u      0.017s      0.070w      1 calls
SAD Guess                           :      0.117u      0.017s      0.067w      1 calls
HF: Form G                          :     79.250u      9.267s     53.124w     15 calls
JK: D                               :      0.017u      0.000s      0.009w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     79.183u      9.267s     53.102w     15 calls
JK: (Q|mn) Read                     :      0.100u      5.667s      3.465w     76 calls
JK: J                               :      4.233u      0.117s      2.581w     76 calls
JK: J1                              :      2.100u      0.050s      1.293w     76 calls
JK: J2                              :      2.033u      0.000s      1.230w     76 calls
JK: K                               :     74.033u      0.000s     44.486w     76 calls
JK: K1                              :     53.817u      0.000s     32.292w     76 calls
JK: K2                              :     20.183u      0.000s     12.177w     76 calls
