
Host: newton

Timers On : Mon Apr 21 15:00:13 2025
Timers Off: Mon Apr 21 15:03:04 2025

Wall Time:      171.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.500u      0.033s      0.316w      1 calls
Libint2ERI::Libint2ERI              :      0.967u      0.033s      0.587w      4 calls
JK: (A|Q)^-1                        :     11.417u      1.150s      6.920w      1 calls
JK: (A|mn)                          :     10.783u      0.000s      6.464w      3 calls
JK: (Q|mn)                          :     20.250u      0.000s     12.152w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.583s      0.364w      3 calls
HF: Form core H                     :      0.817u      0.000s      0.660w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.033w      1 calls
HF: Guess                           :      0.167u      0.000s      0.099w      1 calls
SAD Guess                           :      0.150u      0.000s      0.094w      1 calls
HF: Form G                          :    204.633u     20.717s    139.588w     30 calls
JK: D                               :      0.050u      0.000s      0.016w     30 calls
JK: USO2AO                          :      0.233u      0.000s      0.170w     30 calls
JK: JK                              :    203.767u     20.717s    139.053w     30 calls
JK: (Q|mn) Read                     :      0.283u     11.550s      7.067w    121 calls
JK: J                               :      7.483u      0.100s      4.557w    121 calls
JK: J1                              :      3.483u      0.067s      2.151w    121 calls
JK: J2                              :      3.867u      0.017s      2.329w    121 calls
JK: K                               :    193.400u      0.333s    116.275w    121 calls
JK: K1                              :    113.633u      0.300s     68.368w    121 calls
JK: K2                              :     79.750u      0.033s     47.890w    121 calls
JK: AO2USO                          :      0.567u      0.000s      0.327w     30 calls
HF: Form F                          :      0.017u      0.000s      0.009w     30 calls
HF: Form D                          :      0.000u      0.000s      0.013w     30 calls
HF: DIIS                            :      0.950u      0.250s      0.726w     29 calls
HF: Form C                          :      1.133u      0.017s      0.660w     29 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.500u      0.033s      0.316w      1 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.033s      0.208w      1 calls
Libint2ERI::Libint2ERI              :      0.633u      0.000s      0.378w      2 calls
JK: (A|Q)^-1                        :     11.417u      1.150s      6.920w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     10.783u      0.000s      6.464w      3 calls
JK: (Q|mn)                          :     20.250u      0.000s     12.152w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.583s      0.364w      3 calls
HF: Form core H                     :      0.817u      0.000s      0.660w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.033w      1 calls
HF: Guess                           :      0.167u      0.000s      0.099w      1 calls
| SAD Guess                         :      0.150u      0.000s      0.094w      1 calls
HF: Form G                          :    204.633u     20.717s    139.588w     30 calls
| JK: D                             :      0.050u      0.000s      0.016w     30 calls
| JK: USO2AO                        :      0.233u      0.000s      0.170w     30 calls
| JK: JK                            :    203.767u     20.717s    139.053w     30 calls
| | JK: (Q|mn) Read                 :      0.283u     11.550s      7.067w    121 calls
| | JK: J                           :      7.483u      0.100s      4.557w    121 calls
| | | JK: J1                        :      3.483u      0.067s      2.151w    121 calls
| | | JK: J2                        :      3.867u      0.017s      2.329w    121 calls
| | JK: K                           :    193.400u      0.333s    116.275w    121 calls
| | | JK: K1                        :    113.633u      0.300s     68.368w    121 calls
| | | JK: K2                        :     79.750u      0.033s     47.890w    121 calls
| JK: AO2USO                        :      0.567u      0.000s      0.327w     30 calls
HF: Form F                          :      0.017u      0.000s      0.009w     30 calls
HF: Form D                          :      0.000u      0.000s      0.013w     30 calls
HF: DIIS                            :      0.950u      0.250s      0.726w     29 calls
HF: Form C                          :      1.133u      0.017s      0.660w     29 calls

**************************************************************************************

Host: newton

Timers On : Mon Apr 21 15:03:05 2025
Timers Off: Mon Apr 21 15:04:35 2025

Wall Time:       90.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
