
Host: newton

Timers On : Fri Apr 25 16:07:18 2025
Timers Off: Fri Apr 25 16:10:36 2025

Wall Time:      197.83 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.583u      0.017s      0.360w      1 calls
Libint2ERI::Libint2ERI              :      1.100u      0.017s      0.659w      4 calls
JK: (A|Q)^-1                        :     14.283u      1.500s      8.668w      1 calls
JK: (A|mn)                          :     12.483u      0.017s      7.508w      4 calls
JK: (Q|mn)                          :     26.083u      0.050s     15.660w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.717s      0.460w      4 calls
HF: Form core H                     :      1.033u      0.017s      0.734w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.035w      1 calls
HF: Guess                           :      0.167u      0.000s      0.093w      1 calls
SAD Guess                           :      0.150u      0.000s      0.089w      1 calls
HF: Form G                          :    239.150u     21.150s    159.356w     28 calls
JK: D                               :      0.033u      0.000s      0.017w     28 calls
JK: USO2AO                          :      0.317u      0.000s      0.195w     28 calls
JK: JK                              :    238.233u     21.150s    158.765w     28 calls
JK: (Q|mn) Read                     :      0.367u     12.317s      7.640w    142 calls
JK: J                               :      8.217u      0.150s      4.983w    142 calls
JK: J1                              :      3.967u      0.117s      2.352w    142 calls
JK: J2                              :      4.200u      0.017s      2.546w    142 calls
JK: K                               :    227.467u      0.450s    136.733w    142 calls
JK: K1                              :    124.800u      0.267s     75.057w    142 calls
JK: K2                              :    102.617u      0.167s     61.654w    142 calls
JK: AO2USO                          :      0.567u      0.000s      0.357w     28 calls
HF: Form F                          :      0.000u      0.000s      0.009w     28 calls
HF: Form D                          :      0.017u      0.000s      0.015w     28 calls
HF: DIIS                            :      1.033u      0.317s      0.769w     27 calls
HF: Form C                          :      1.217u      0.000s      0.738w     27 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.583u      0.017s      0.360w      1 calls
| Libint2ERI::Libint2ERI            :      0.383u      0.017s      0.237w      1 calls
Libint2ERI::Libint2ERI              :      0.717u      0.000s      0.421w      2 calls
JK: (A|Q)^-1                        :     14.283u      1.500s      8.668w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     12.483u      0.017s      7.508w      4 calls
JK: (Q|mn)                          :     26.083u      0.050s     15.660w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.717s      0.460w      4 calls
HF: Form core H                     :      1.033u      0.017s      0.734w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.035w      1 calls
HF: Guess                           :      0.167u      0.000s      0.093w      1 calls
| SAD Guess                         :      0.150u      0.000s      0.089w      1 calls
HF: Form G                          :    239.150u     21.150s    159.356w     28 calls
| JK: D                             :      0.033u      0.000s      0.017w     28 calls
| JK: USO2AO                        :      0.317u      0.000s      0.195w     28 calls
| JK: JK                            :    238.233u     21.150s    158.765w     28 calls
| | JK: (Q|mn) Read                 :      0.367u     12.317s      7.640w    142 calls
| | JK: J                           :      8.217u      0.150s      4.983w    142 calls
| | | JK: J1                        :      3.967u      0.117s      2.352w    142 calls
| | | JK: J2                        :      4.200u      0.017s      2.546w    142 calls
| | JK: K                           :    227.467u      0.450s    136.733w    142 calls
| | | JK: K1                        :    124.800u      0.267s     75.057w    142 calls
| | | JK: K2                        :    102.617u      0.167s     61.654w    142 calls
| JK: AO2USO                        :      0.567u      0.000s      0.357w     28 calls
HF: Form F                          :      0.000u      0.000s      0.009w     28 calls
HF: Form D                          :      0.017u      0.000s      0.015w     28 calls
HF: DIIS                            :      1.033u      0.317s      0.769w     27 calls
HF: Form C                          :      1.217u      0.000s      0.738w     27 calls

**************************************************************************************

Host: newton

Timers On : Fri Apr 25 16:10:36 2025
Timers Off: Fri Apr 25 16:12:33 2025

Wall Time:      116.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.550u      0.033s      0.355w      1 calls
Libint2ERI::Libint2ERI              :      1.083u      0.033s      0.659w      4 calls
JK: (A|Q)^-1                        :     15.450u      1.550s      9.375w      1 calls
JK: (A|mn)                          :     13.933u      0.033s      8.361w      5 calls
JK: (Q|mn)                          :     29.067u      0.000s     17.441w      5 calls
JK: (Q|mn) Write                    :      0.050u      0.783s      0.513w      5 calls
HF: Form core H                     :      1.067u      0.017s      0.767w      1 calls
HF: Form S/X                        :      0.117u      0.017s      0.080w      1 calls
HF: Guess                           :      0.167u      0.017s      0.111w      1 calls
SAD Guess                           :      0.167u      0.017s      0.107w      1 calls
HF: Form G                          :    109.517u     12.250s     74.898w     11 calls
JK: D                               :      0.033u      0.000s      0.016w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     11 calls
JK: JK                              :    109.467u     12.183s     74.853w     11 calls
JK: (Q|mn) Read                     :      0.233u      6.417s      4.021w     67 calls
JK: J                               :      4.167u      0.150s      2.516w     67 calls
JK: J1                              :      1.917u      0.100s      1.181w     67 calls
JK: J2                              :      2.117u      0.017s      1.275w     67 calls
