
Host: node_13

Timers On : Fri Apr 25 13:50:28 2025
Timers Off: Fri Apr 25 13:52:48 2025

Wall Time:      139.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.450u      0.000s      0.271w      1 calls
Libint2ERI::Libint2ERI              :      0.850u      0.000s      0.518w      4 calls
JK: (A|Q)^-1                        :      9.767u      0.733s      5.968w      1 calls
JK: (A|mn)                          :      9.783u      0.033s      5.910w      4 calls
JK: (Q|mn)                          :     13.033u      0.050s      7.834w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.550s      0.336w      4 calls
HF: Form core H                     :      0.800u      0.000s      0.484w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.021w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
SAD Guess                           :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :    171.017u     18.600s    114.257w     28 calls
JK: D                               :      0.050u      0.000s      0.012w     28 calls
JK: USO2AO                          :      0.167u      0.017s      0.109w     28 calls
JK: JK                              :    170.500u     18.550s    113.911w     28 calls
JK: (Q|mn) Read                     :      0.183u     11.350s      6.949w    142 calls
JK: J                               :      8.317u      0.250s      5.090w    142 calls
JK: J1                              :      4.117u      0.183s      2.526w    142 calls
JK: J2                              :      4.083u      0.033s      2.464w    142 calls
JK: K                               :    160.533u      0.500s     96.692w    142 calls
JK: K1                              :    106.950u      0.300s     64.426w    142 calls
JK: K2                              :     53.500u      0.183s     32.228w    142 calls
JK: AO2USO                          :      0.283u      0.033s      0.208w     28 calls
HF: Form F                          :      0.017u      0.017s      0.012w     28 calls
HF: Form D                          :      0.000u      0.017s      0.009w     28 calls
HF: DIIS                            :      0.883u      0.250s      0.849w     27 calls
HF: Form C                          :      0.750u      0.000s      0.441w     27 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.450u      0.000s      0.271w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.000s      0.176w      1 calls
Libint2ERI::Libint2ERI              :      0.567u      0.000s      0.341w      2 calls
JK: (A|Q)^-1                        :      9.767u      0.733s      5.968w      1 calls
