
Host: node_13

Timers On : Tue Apr  8 10:47:57 2025
Timers Off: Tue Apr  8 10:49:30 2025

Wall Time:       92.99 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.227w      1 calls
Libint2ERI::Libint2ERI              :      1.150u      0.017s      0.703w      8 calls
JK: (A|Q)^-1                        :      6.867u      0.567s      4.190w      1 calls
JK: (A|mn)                          :      7.717u      0.017s      4.640w      3 calls
JK: (Q|mn)                          :      9.833u      0.033s      5.920w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.267w      3 calls
HF: Form core H                     :      0.583u      0.000s      0.348w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.030w      1 calls
HF: Guess                           :      0.133u      0.000s      0.074w      1 calls
SAD Guess                           :      0.133u      0.000s      0.071w      1 calls
HF: Form G                          :     68.983u      8.450s     46.459w     14 calls
JK: D                               :      0.033u      0.000s      0.008w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     14 calls
JK: JK                              :     68.933u      8.450s     46.440w     14 calls
JK: (Q|mn) Read                     :      0.083u      4.750s      2.849w     57 calls
JK: J                               :      3.350u      0.050s      2.030w     57 calls
JK: J1                              :      1.667u      0.050s      1.029w     57 calls
JK: J2                              :      1.600u      0.000s      0.963w     57 calls
JK: K                               :     64.883u      0.150s     39.092w     57 calls
JK: K1                              :     46.050u      0.100s     27.694w     57 calls
JK: K2                              :     18.833u      0.050s     11.385w     57 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.017u      0.000s      0.007w     14 calls
HF: Form D                          :      0.000u      0.000s      0.006w     14 calls
HF: DIIS                            :      0.617u      0.083s      0.613w     13 calls
HF: Form C                          :      0.450u      0.000s      0.292w     13 calls
Grad: V T Perturb                   :      0.833u      0.000s      0.495w      1 calls
Grad: S                             :      0.033u      0.000s      0.018w      1 calls
Grad: JK                            :     42.750u      1.583s     26.615w      1 calls
JKGrad: Amn                         :     12.183u      0.367s      7.533w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      8.567u      0.400s      5.380w      1 calls
JKGrad: UV                          :      1.583u      0.350s      1.158w      1 calls
JKGrad: ABx                         :      0.300u      0.050s      0.220w      1 calls
JKGrad: Amnx                        :     20.117u      0.400s     12.308w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.017s      0.227w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.147w      1 calls
Libint2ERI::Libint2ERI              :      0.450u      0.000s      0.274w      2 calls
JK: (A|Q)^-1                        :      6.867u      0.567s      4.190w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.717u      0.017s      4.640w      3 calls
JK: (Q|mn)                          :      9.833u      0.033s      5.920w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.267w      3 calls
HF: Form core H                     :      0.583u      0.000s      0.348w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.030w      1 calls
HF: Guess                           :      0.133u      0.000s      0.074w      1 calls
| SAD Guess                         :      0.133u      0.000s      0.071w      1 calls
HF: Form G                          :     68.983u      8.450s     46.459w     14 calls
| JK: D                             :      0.033u      0.000s      0.008w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :     68.933u      8.450s     46.440w     14 calls
| | JK: (Q|mn) Read                 :      0.083u      4.750s      2.849w     57 calls
| | JK: J                           :      3.350u      0.050s      2.030w     57 calls
| | | JK: J1                        :      1.667u      0.050s      1.029w     57 calls
| | | JK: J2                        :      1.600u      0.000s      0.963w     57 calls
| | JK: K                           :     64.883u      0.150s     39.092w     57 calls
| | | JK: K1                        :     46.050u      0.100s     27.694w     57 calls
| | | JK: K2                        :     18.833u      0.050s     11.385w     57 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.017u      0.000s      0.007w     14 calls
HF: Form D                          :      0.000u      0.000s      0.006w     14 calls
HF: DIIS                            :      0.617u      0.083s      0.613w     13 calls
HF: Form C                          :      0.450u      0.000s      0.292w     13 calls
Grad: V T Perturb                   :      0.833u      0.000s      0.495w      1 calls
Grad: S                             :      0.033u      0.000s      0.018w      1 calls
Grad: JK                            :     42.750u      1.583s     26.615w      1 calls
| JKGrad: Amn                       :     12.183u      0.367s      7.533w      1 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.141w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      8.567u      0.400s      5.380w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      1.583u      0.350s      1.158w      1 calls
| JKGrad: ABx                       :      0.300u      0.050s      0.220w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     20.117u      0.400s     12.308w      1 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.139w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Tue Apr  8 10:49:30 2025
Timers Off: Tue Apr  8 10:51:02 2025

Wall Time:       92.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.227w      1 calls
Libint2ERI::Libint2ERI              :      1.117u      0.033s      0.701w      8 calls
JK: (A|Q)^-1                        :      7.067u      0.617s      4.325w      1 calls
JK: (A|mn)                          :      7.700u      0.050s      4.645w      3 calls
JK: (Q|mn)                          :     10.033u      0.033s      6.040w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.269w      3 calls
HF: Form core H                     :      0.567u      0.017s      0.347w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.029w      1 calls
HF: Guess                           :      0.117u      0.000s      0.072w      1 calls
SAD Guess                           :      0.117u      0.000s      0.069w      1 calls
HF: Form G                          :     68.233u      8.233s     45.947w     14 calls
JK: D                               :      0.000u      0.000s      0.008w     14 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     14 calls
JK: JK                              :     68.217u      8.233s     45.927w     14 calls
JK: (Q|mn) Read                     :      0.117u      4.683s      2.869w     57 calls
JK: J                               :      3.333u      0.133s      2.061w     57 calls
JK: J1                              :      1.683u      0.067s      1.046w     57 calls
JK: J2                              :      1.600u      0.017s      0.976w     57 calls
JK: K                               :     64.017u      0.083s     38.488w     57 calls
JK: K1                              :     45.100u      0.033s     27.100w     57 calls
JK: K2                              :     18.883u      0.050s     11.376w     57 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     14 calls
HF: Form F                          :      0.000u      0.000s      0.007w     14 calls
HF: Form D                          :      0.000u      0.000s      0.007w     14 calls
HF: DIIS                            :      0.567u      0.217s      0.621w     13 calls
HF: Form C                          :      0.550u      0.000s      0.307w     13 calls
Grad: V T Perturb                   :      0.817u      0.000s      0.491w      1 calls
Grad: S                             :      0.033u      0.000s      0.018w      1 calls
Grad: JK                            :     42.367u      1.467s     26.316w      1 calls
JKGrad: Amn                         :     12.000u      0.350s      7.405w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      8.583u      0.400s      5.399w      1 calls
JKGrad: UV                          :      1.550u      0.350s      1.138w      1 calls
JKGrad: ABx                         :      0.317u      0.050s      0.223w      1 calls
JKGrad: Amnx                        :     19.917u      0.300s     12.135w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.017s      0.227w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.017s      0.146w      1 calls
Libint2ERI::Libint2ERI              :      0.433u      0.000s      0.274w      2 calls
JK: (A|Q)^-1                        :      7.067u      0.617s      4.325w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.700u      0.050s      4.645w      3 calls
JK: (Q|mn)                          :     10.033u      0.033s      6.040w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.269w      3 calls
HF: Form core H                     :      0.567u      0.017s      0.347w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.029w      1 calls
HF: Guess                           :      0.117u      0.000s      0.072w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.069w      1 calls
HF: Form G                          :     68.233u      8.233s     45.947w     14 calls
| JK: D                             :      0.000u      0.000s      0.008w     14 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     14 calls
| JK: JK                            :     68.217u      8.233s     45.927w     14 calls
| | JK: (Q|mn) Read                 :      0.117u      4.683s      2.869w     57 calls
| | JK: J                           :      3.333u      0.133s      2.061w     57 calls
| | | JK: J1                        :      1.683u      0.067s      1.046w     57 calls
| | | JK: J2                        :      1.600u      0.017s      0.976w     57 calls
| | JK: K                           :     64.017u      0.083s     38.488w     57 calls
