
Host: newton

Timers On : Thu Apr 24 19:28:54 2025
Timers Off: Thu Apr 24 19:31:08 2025

Wall Time:      134.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.017s      0.261w      1 calls
Libint2ERI::Libint2ERI              :      1.400u      0.033s      0.864w      8 calls
JK: (A|Q)^-1                        :     10.233u      1.050s      6.193w      1 calls
JK: (A|mn)                          :     10.500u      0.000s      6.308w      3 calls
JK: (Q|mn)                          :     19.517u      0.000s     11.721w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.550s      0.337w      3 calls
HF: Form core H                     :      0.717u      0.017s      0.539w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.048w      1 calls
HF: Guess                           :      0.150u      0.000s      0.095w      1 calls
SAD Guess                           :      0.150u      0.000s      0.092w      1 calls
HF: Form G                          :     99.383u      9.900s     67.202w     15 calls
JK: D                               :      0.017u      0.000s      0.011w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     99.367u      9.900s     67.175w     15 calls
JK: (Q|mn) Read                     :      0.233u      5.200s      3.260w     61 calls
JK: J                               :      3.517u      0.117s      2.173w     61 calls
JK: J1                              :      1.633u      0.067s      1.021w     61 calls
JK: J2                              :      1.850u      0.000s      1.114w     61 calls
JK: K                               :     94.483u      0.000s     56.705w     61 calls
JK: K1                              :     59.867u      0.000s     35.915w     61 calls
JK: K2                              :     34.600u      0.000s     20.782w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.006w     15 calls
HF: Form D                          :      0.017u      0.000s      0.011w     15 calls
HF: DIIS                            :      0.617u      0.150s      0.481w     14 calls
HF: Form C                          :      0.900u      0.000s      0.533w     14 calls
Grad: V T Perturb                   :      1.000u      0.000s      0.598w      1 calls
Grad: S                             :      0.033u      0.000s      0.022w      1 calls
Grad: JK                            :     59.267u      1.600s     36.844w      1 calls
JKGrad: Amn                         :     17.950u      0.400s     11.011w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     12.633u      0.400s      7.821w      1 calls
JKGrad: UV                          :      2.850u      0.367s      1.931w      1 calls
JKGrad: ABx                         :      0.367u      0.083s      0.270w      1 calls
JKGrad: Amnx                        :     25.467u      0.333s     15.473w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.017s      0.261w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.017s      0.171w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.000s      0.316w      2 calls
JK: (A|Q)^-1                        :     10.233u      1.050s      6.193w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      1 calls
JK: (A|mn)                          :     10.500u      0.000s      6.308w      3 calls
JK: (Q|mn)                          :     19.517u      0.000s     11.721w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.550s      0.337w      3 calls
HF: Form core H                     :      0.717u      0.017s      0.539w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.048w      1 calls
HF: Guess                           :      0.150u      0.000s      0.095w      1 calls
| SAD Guess                         :      0.150u      0.000s      0.092w      1 calls
HF: Form G                          :     99.383u      9.900s     67.202w     15 calls
| JK: D                             :      0.017u      0.000s      0.011w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     99.367u      9.900s     67.175w     15 calls
| | JK: (Q|mn) Read                 :      0.233u      5.200s      3.260w     61 calls
| | JK: J                           :      3.517u      0.117s      2.173w     61 calls
| | | JK: J1                        :      1.633u      0.067s      1.021w     61 calls
| | | JK: J2                        :      1.850u      0.000s      1.114w     61 calls
| | JK: K                           :     94.483u      0.000s     56.705w     61 calls
| | | JK: K1                        :     59.867u      0.000s     35.915w     61 calls
| | | JK: K2                        :     34.600u      0.000s     20.782w     61 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.006w     15 calls
HF: Form D                          :      0.017u      0.000s      0.011w     15 calls
HF: DIIS                            :      0.617u      0.150s      0.481w     14 calls
HF: Form C                          :      0.900u      0.000s      0.533w     14 calls
Grad: V T Perturb                   :      1.000u      0.000s      0.598w      1 calls
Grad: S                             :      0.033u      0.000s      0.022w      1 calls
Grad: JK                            :     59.267u      1.600s     36.844w      1 calls
| JKGrad: Amn                       :     17.950u      0.400s     11.011w      1 calls
| | Libint2ERI::Libint2ERI          :      0.350u      0.000s      0.210w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     12.633u      0.400s      7.821w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      2.850u      0.367s      1.931w      1 calls
| JKGrad: ABx                       :      0.367u      0.083s      0.270w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      1 calls
| JKGrad: Amnx                      :     25.467u      0.333s     15.473w      1 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.165w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: newton

Timers On : Thu Apr 24 19:31:08 2025
Timers Off: Thu Apr 24 19:33:23 2025

Wall Time:      135.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.017s      0.264w      1 calls
Libint2ERI::Libint2ERI              :      1.333u      0.017s      0.811w      8 calls
JK: (A|Q)^-1                        :     10.017u      1.117s      6.096w      1 calls
JK: (A|mn)                          :     11.167u      0.000s      6.701w      3 calls
JK: (Q|mn)                          :     19.933u      0.000s     11.969w      3 calls
JK: (Q|mn) Write                    :      0.050u      0.550s      0.359w      3 calls
HF: Form core H                     :      0.733u      0.000s      0.618w      1 calls
HF: Form S/X                        :      0.083u      0.017s      0.059w      1 calls
HF: Guess                           :      0.167u      0.017s      0.115w      1 calls
SAD Guess                           :      0.167u      0.017s      0.111w      1 calls
HF: Form G                          :     97.833u     10.517s     66.984w     15 calls
JK: D                               :      0.017u      0.000s      0.013w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     97.800u     10.517s     66.951w     15 calls
JK: (Q|mn) Read                     :      0.200u      5.783s      3.565w     61 calls
JK: J                               :      3.800u      0.050s      2.315w     61 calls
JK: J1                              :      1.817u      0.033s      1.091w     61 calls
JK: J2                              :      1.850u      0.000s      1.184w     61 calls
JK: K                               :     92.600u      0.000s     55.623w     61 calls
JK: K1                              :     58.617u      0.000s     35.178w     61 calls
JK: K2                              :     33.967u      0.000s     20.439w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.008w     15 calls
HF: Form D                          :      0.000u      0.000s      0.011w     15 calls
HF: DIIS                            :      0.683u      0.217s      0.523w     14 calls
HF: Form C                          :      0.900u      0.000s      0.531w     14 calls
Grad: V T Perturb                   :      0.967u      0.000s      0.582w      1 calls
Grad: S                             :      0.033u      0.000s      0.022w      1 calls
Grad: JK                            :     60.517u      1.750s     37.659w      1 calls
JKGrad: Amn                         :     18.300u      0.450s     11.262w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     12.667u      0.433s      7.855w      1 calls
JKGrad: UV                          :      2.883u      0.417s      1.982w      1 calls
JKGrad: ABx                         :      0.383u      0.067s      0.271w      1 calls
JKGrad: Amnx                        :     26.267u      0.333s     15.962w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.017s      0.264w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.017s      0.174w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.307w      2 calls
JK: (A|Q)^-1                        :     10.017u      1.117s      6.096w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     11.167u      0.000s      6.701w      3 calls
JK: (Q|mn)                          :     19.933u      0.000s     11.969w      3 calls
JK: (Q|mn) Write                    :      0.050u      0.550s      0.359w      3 calls
HF: Form core H                     :      0.733u      0.000s      0.618w      1 calls
HF: Form S/X                        :      0.083u      0.017s      0.059w      1 calls
HF: Guess                           :      0.167u      0.017s      0.115w      1 calls
| SAD Guess                         :      0.167u      0.017s      0.111w      1 calls
HF: Form G                          :     97.833u     10.517s     66.984w     15 calls
| JK: D                             :      0.017u      0.000s      0.013w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     97.800u     10.517s     66.951w     15 calls
| | JK: (Q|mn) Read                 :      0.200u      5.783s      3.565w     61 calls
| | JK: J                           :      3.800u      0.050s      2.315w     61 calls
| | | JK: J1                        :      1.817u      0.033s      1.091w     61 calls
| | | JK: J2                        :      1.850u      0.000s      1.184w     61 calls
| | JK: K                           :     92.600u      0.000s     55.623w     61 calls
| | | JK: K1                        :     58.617u      0.000s     35.178w     61 calls
| | | JK: K2                        :     33.967u      0.000s     20.439w     61 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.008w     15 calls
HF: Form D                          :      0.000u      0.000s      0.011w     15 calls
HF: DIIS                            :      0.683u      0.217s      0.523w     14 calls
HF: Form C                          :      0.900u      0.000s      0.531w     14 calls
Grad: V T Perturb                   :      0.967u      0.000s      0.582w      1 calls
Grad: S                             :      0.033u      0.000s      0.022w      1 calls
Grad: JK                            :     60.517u      1.750s     37.659w      1 calls
| JKGrad: Amn                       :     18.300u      0.450s     11.262w      1 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.166w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     12.667u      0.433s      7.855w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      2.883u      0.417s      1.982w      1 calls
| JKGrad: ABx                       :      0.383u      0.067s      0.271w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      1 calls
| JKGrad: Amnx                      :     26.267u      0.333s     15.962w      1 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.000s      0.162w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: newton

Timers On : Thu Apr 24 19:33:24 2025
Timers Off: Thu Apr 24 19:35:42 2025

Wall Time:      137.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.433u      0.017s      0.269w      1 calls
Libint2ERI::Libint2ERI              :      1.367u      0.017s      0.829w      8 calls
JK: (A|Q)^-1                        :     10.033u      1.117s      6.082w      1 calls
JK: (A|mn)                          :     11.550u      0.000s      6.928w      3 calls
JK: (Q|mn)                          :     20.950u      0.017s     12.573w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.583s      0.361w      3 calls
HF: Form core H                     :      0.717u      0.000s      0.655w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.058w      1 calls
HF: Guess                           :      0.183u      0.000s      0.111w      1 calls
