
Host: newton

Timers On : Thu Apr 24 20:14:02 2025
Timers Off: Thu Apr 24 20:15:18 2025

Wall Time:       76.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.017s      0.261w      1 calls
Libint2ERI::Libint2ERI              :      0.783u      0.017s      0.490w      4 calls
JK: (A|Q)^-1                        :      9.933u      1.100s      6.032w      1 calls
JK: (A|mn)                          :     10.233u      0.033s      6.161w      3 calls
JK: (Q|mn)                          :     18.950u      0.033s     11.384w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.550s      0.348w      3 calls
HF: Form core H                     :      0.683u      0.017s      0.427w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.040w      1 calls
HF: Guess                           :      0.150u      0.000s      0.092w      1 calls
SAD Guess                           :      0.133u      0.000s      0.088w      1 calls
HF: Form G                          :     70.083u      7.167s     47.845w     11 calls
JK: D                               :      0.017u      0.000s      0.009w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     70.067u      7.167s     47.824w     11 calls
JK: (Q|mn) Read                     :      0.183u      3.783s      2.322w     45 calls
JK: J                               :      2.500u      0.050s      1.547w     45 calls
JK: J1                              :      1.133u      0.033s      0.727w     45 calls
JK: J2                              :      1.317u      0.000s      0.793w     45 calls
JK: K                               :     66.483u      0.050s     39.921w     45 calls
JK: K1                              :     41.483u      0.017s     24.890w     45 calls
JK: K2                              :     24.967u      0.033s     15.026w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.004w     11 calls
HF: Form D                          :      0.000u      0.000s      0.007w     11 calls
HF: DIIS                            :      0.483u      0.167s      0.379w     10 calls
HF: Form C                          :      0.633u      0.000s      0.366w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.017s      0.261w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.017s      0.171w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.000s      0.318w      2 calls
JK: (A|Q)^-1                        :      9.933u      1.100s      6.032w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     10.233u      0.033s      6.161w      3 calls
JK: (Q|mn)                          :     18.950u      0.033s     11.384w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.550s      0.348w      3 calls
HF: Form core H                     :      0.683u      0.017s      0.427w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.040w      1 calls
HF: Guess                           :      0.150u      0.000s      0.092w      1 calls
| SAD Guess                         :      0.133u      0.000s      0.088w      1 calls
HF: Form G                          :     70.083u      7.167s     47.845w     11 calls
| JK: D                             :      0.017u      0.000s      0.009w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     70.067u      7.167s     47.824w     11 calls
| | JK: (Q|mn) Read                 :      0.183u      3.783s      2.322w     45 calls
| | JK: J                           :      2.500u      0.050s      1.547w     45 calls
| | | JK: J1                        :      1.133u      0.033s      0.727w     45 calls
| | | JK: J2                        :      1.317u      0.000s      0.793w     45 calls
| | JK: K                           :     66.483u      0.050s     39.921w     45 calls
| | | JK: K1                        :     41.483u      0.017s     24.890w     45 calls
| | | JK: K2                        :     24.967u      0.033s     15.026w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.004w     11 calls
HF: Form D                          :      0.000u      0.000s      0.007w     11 calls
HF: DIIS                            :      0.483u      0.167s      0.379w     10 calls
HF: Form C                          :      0.633u      0.000s      0.366w     10 calls

**************************************************************************************

Host: newton

Timers On : Thu Apr 24 20:15:18 2025
Timers Off: Thu Apr 24 20:17:34 2025

Wall Time:      136.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.254w      1 calls
Libint2ERI::Libint2ERI              :      0.767u      0.017s      0.472w      4 calls
JK: (A|Q)^-1                        :      9.633u      1.033s      5.911w      1 calls
JK: (A|mn)                          :      9.983u      0.033s      5.997w      3 calls
JK: (Q|mn)                          :     18.300u      0.067s     11.023w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.517s      0.346w      3 calls
HF: Form core H                     :      0.783u      0.000s      0.623w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.024w      1 calls
HF: Guess                           :      0.167u      0.000s      0.102w      1 calls
SAD Guess                           :      0.167u      0.000s      0.098w      1 calls
HF: Form G                          :    155.983u     16.833s    107.786w     27 calls
JK: D                               :      0.017u      0.000s      0.012w     27 calls
JK: USO2AO                          :      0.167u      0.000s      0.133w     27 calls
JK: JK                              :    155.433u     16.833s    107.378w     27 calls
JK: (Q|mn) Read                     :      0.400u      8.700s      5.387w    109 calls
JK: J                               :      5.817u      0.050s      3.595w    109 calls
JK: J1                              :      2.650u      0.050s      1.691w    109 calls
JK: J2                              :      3.067u      0.000s      1.842w    109 calls
JK: K                               :    146.967u      0.050s     88.197w    109 calls
JK: K1                              :     88.050u      0.033s     52.858w    109 calls
JK: K2                              :     58.883u      0.017s     35.327w    109 calls
JK: AO2USO                          :      0.350u      0.000s      0.248w     27 calls
HF: Form F                          :      0.000u      0.000s      0.007w     27 calls
HF: Form D                          :      0.000u      0.000s      0.010w     27 calls
HF: DIIS                            :      0.783u      0.300s      0.625w     26 calls
HF: Form C                          :      0.817u      0.000s      0.508w     26 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.254w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.017s      0.167w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.304w      2 calls
JK: (A|Q)^-1                        :      9.633u      1.033s      5.911w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      9.983u      0.033s      5.997w      3 calls
JK: (Q|mn)                          :     18.300u      0.067s     11.023w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.517s      0.346w      3 calls
HF: Form core H                     :      0.783u      0.000s      0.623w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.024w      1 calls
HF: Guess                           :      0.167u      0.000s      0.102w      1 calls
| SAD Guess                         :      0.167u      0.000s      0.098w      1 calls
HF: Form G                          :    155.983u     16.833s    107.786w     27 calls
| JK: D                             :      0.017u      0.000s      0.012w     27 calls
| JK: USO2AO                        :      0.167u      0.000s      0.133w     27 calls
| JK: JK                            :    155.433u     16.833s    107.378w     27 calls
| | JK: (Q|mn) Read                 :      0.400u      8.700s      5.387w    109 calls
| | JK: J                           :      5.817u      0.050s      3.595w    109 calls
| | | JK: J1                        :      2.650u      0.050s      1.691w    109 calls
| | | JK: J2                        :      3.067u      0.000s      1.842w    109 calls
| | JK: K                           :    146.967u      0.050s     88.197w    109 calls
| | | JK: K1                        :     88.050u      0.033s     52.858w    109 calls
| | | JK: K2                        :     58.883u      0.017s     35.327w    109 calls
| JK: AO2USO                        :      0.350u      0.000s      0.248w     27 calls
HF: Form F                          :      0.000u      0.000s      0.007w     27 calls
HF: Form D                          :      0.000u      0.000s      0.010w     27 calls
HF: DIIS                            :      0.783u      0.300s      0.625w     26 calls
HF: Form C                          :      0.817u      0.000s      0.508w     26 calls

**************************************************************************************

Host: newton

Timers On : Thu Apr 24 20:17:34 2025
Timers Off: Thu Apr 24 20:18:50 2025

Wall Time:       75.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.033s      0.264w      1 calls
Libint2ERI::Libint2ERI              :      0.800u      0.017s      0.491w      4 calls
JK: (A|Q)^-1                        :      9.867u      1.133s      5.989w      1 calls
JK: (A|mn)                          :     10.117u      0.017s      6.088w      3 calls
JK: (Q|mn)                          :     18.317u      0.000s     10.991w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.567s      0.351w      3 calls
HF: Form core H                     :      0.700u      0.017s      0.554w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.057w      1 calls
HF: Guess                           :      0.200u      0.000s      0.119w      1 calls
SAD Guess                           :      0.183u      0.000s      0.114w      1 calls
HF: Form G                          :     68.583u      7.683s     47.340w     11 calls
JK: D                               :      0.050u      0.000s      0.009w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     68.500u      7.683s     47.317w     11 calls
JK: (Q|mn) Read                     :      0.083u      4.017s      2.475w     45 calls
JK: J                               :      2.600u      0.117s      1.615w     45 calls
JK: J1                              :      1.250u      0.083s      0.761w     45 calls
JK: J2                              :      1.333u      0.017s      0.826w     45 calls
JK: K                               :     64.967u      0.133s     39.035w     45 calls
JK: K1                              :     40.233u      0.083s     24.179w     45 calls
JK: K2                              :     24.733u      0.050s     14.851w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.008w     11 calls
HF: DIIS                            :      0.633u      0.083s      0.467w     10 calls
HF: Form C                          :      0.617u      0.000s      0.383w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.033s      0.264w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.017s      0.173w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.000s      0.317w      2 calls
JK: (A|Q)^-1                        :      9.867u      1.133s      5.989w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     10.117u      0.017s      6.088w      3 calls
JK: (Q|mn)                          :     18.317u      0.000s     10.991w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.567s      0.351w      3 calls
HF: Form core H                     :      0.700u      0.017s      0.554w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.057w      1 calls
HF: Guess                           :      0.200u      0.000s      0.119w      1 calls
| SAD Guess                         :      0.183u      0.000s      0.114w      1 calls
HF: Form G                          :     68.583u      7.683s     47.340w     11 calls
| JK: D                             :      0.050u      0.000s      0.009w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     68.500u      7.683s     47.317w     11 calls
| | JK: (Q|mn) Read                 :      0.083u      4.017s      2.475w     45 calls
| | JK: J                           :      2.600u      0.117s      1.615w     45 calls
| | | JK: J1                        :      1.250u      0.083s      0.761w     45 calls
| | | JK: J2                        :      1.333u      0.017s      0.826w     45 calls
| | JK: K                           :     64.967u      0.133s     39.035w     45 calls
| | | JK: K1                        :     40.233u      0.083s     24.179w     45 calls
| | | JK: K2                        :     24.733u      0.050s     14.851w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.008w     11 calls
HF: DIIS                            :      0.633u      0.083s      0.467w     10 calls
HF: Form C                          :      0.617u      0.000s      0.383w     10 calls

**************************************************************************************

Host: newton

Timers On : Thu Apr 24 20:18:50 2025
Timers Off: Thu Apr 24 20:20:09 2025

Wall Time:       78.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.433u      0.000s      0.267w      1 calls
Libint2ERI::Libint2ERI              :      0.783u      0.017s      0.487w      4 calls
JK: (A|Q)^-1                        :      9.967u      1.150s      6.069w      1 calls
JK: (A|mn)                          :     10.933u      0.000s      6.577w      3 calls
JK: (Q|mn)                          :     19.733u      0.050s     11.855w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.600s      0.374w      3 calls
HF: Form core H                     :      0.767u      0.000s      0.503w      1 calls
