
Host: newton

Timers On : Sun Apr 20 16:10:54 2025
Timers Off: Sun Apr 20 16:12:27 2025

Wall Time:       93.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.517u      0.000s      0.311w      1 calls
Libint2ERI::Libint2ERI              :      1.017u      0.017s      0.645w      4 calls
JK: (A|Q)^-1                        :     13.533u      1.350s      8.217w      1 calls
JK: (A|mn)                          :     12.183u      0.000s      7.315w      4 calls
JK: (Q|mn)                          :     24.350u      0.050s     14.638w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.683s      0.433w      4 calls
HF: Form core H                     :      0.917u      0.017s      0.673w      1 calls
HF: Form S/X                        :      0.083u      0.017s      0.064w      1 calls
HF: Guess                           :      0.150u      0.000s      0.090w      1 calls
SAD Guess                           :      0.133u      0.000s      0.086w      1 calls
HF: Form G                          :     86.583u      7.817s     57.591w     11 calls
JK: D                               :      0.017u      0.000s      0.010w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     86.567u      7.800s     57.567w     11 calls
JK: (Q|mn) Read                     :      0.167u      4.583s      2.857w     56 calls
JK: J                               :      3.033u      0.083s      1.888w     56 calls
JK: J1                              :      1.417u      0.067s      0.884w     56 calls
JK: J2                              :      1.567u      0.000s      0.964w     56 calls
JK: K                               :     82.567u      0.067s     49.548w     56 calls
JK: K1                              :     48.217u      0.050s     28.966w     56 calls
JK: K2                              :     34.300u      0.000s     20.574w     56 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.005w     11 calls
HF: Form D                          :      0.017u      0.000s      0.010w     11 calls
HF: DIIS                            :      0.550u      0.167s      0.407w     10 calls
HF: Form C                          :      0.717u      0.000s      0.446w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.517u      0.000s      0.311w      1 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.202w      1 calls
Libint2ERI::Libint2ERI              :      0.700u      0.017s      0.442w      2 calls
JK: (A|Q)^-1                        :     13.533u      1.350s      8.217w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     12.183u      0.000s      7.315w      4 calls
JK: (Q|mn)                          :     24.350u      0.050s     14.638w      4 calls
JK: (Q|mn) Write                    :      0.033u      0.683s      0.433w      4 calls
