
Host: node_13

Timers On : Thu Apr 17 13:42:39 2025
Timers Off: Thu Apr 17 13:44:13 2025

Wall Time:       94.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.317u      0.017s      0.202w      1 calls
Libint2ERI::Libint2ERI              :      1.000u      0.017s      0.627w      8 calls
JK: (A|Q)^-1                        :      6.833u      0.583s      4.173w      1 calls
JK: (A|mn)                          :      7.967u      0.017s      4.798w      3 calls
JK: (Q|mn)                          :      9.683u      0.017s      5.834w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.467s      0.276w      3 calls
HF: Form core H                     :      0.567u      0.000s      0.559w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.031w      1 calls
HF: Guess                           :      0.133u      0.000s      0.075w      1 calls
SAD Guess                           :      0.133u      0.000s      0.072w      1 calls
HF: Form G                          :     71.117u      9.183s     48.726w     15 calls
JK: D                               :      0.017u      0.000s      0.008w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     71.083u      9.183s     48.706w     15 calls
JK: (Q|mn) Read                     :      0.083u      5.100s      3.135w     61 calls
JK: J                               :      3.567u      0.133s      2.197w     61 calls
JK: J1                              :      1.750u      0.067s      1.107w     61 calls
JK: J2                              :      1.750u      0.033s      1.047w     61 calls
JK: K                               :     66.717u      0.033s     40.072w     61 calls
JK: K1                              :     50.417u      0.033s     30.276w     61 calls
JK: K2                              :     16.300u      0.000s      9.784w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.007w     15 calls
HF: Form D                          :      0.000u      0.000s      0.006w     15 calls
HF: DIIS                            :      0.533u      0.200s      0.606w     14 calls
HF: Form C                          :      0.483u      0.000s      0.283w     14 calls
Grad: V T Perturb                   :      0.750u      0.000s      0.453w      1 calls
Grad: S                             :      0.033u      0.000s      0.017w      1 calls
Grad: JK                            :     41.333u      1.450s     26.009w      1 calls
JKGrad: Amn                         :     11.950u      0.333s      7.380w      1 calls
