
Host: node_13

Timers On : Fri Apr 18 16:05:21 2025
Timers Off: Fri Apr 18 16:06:11 2025

Wall Time:       49.65 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.333u      0.000s      0.205w      1 calls
Libint2ERI::Libint2ERI              :      0.650u      0.000s      0.391w      4 calls
JK: (A|Q)^-1                        :      6.350u      0.583s      3.885w      1 calls
JK: (A|mn)                          :      7.417u      0.000s      4.456w      3 calls
JK: (Q|mn)                          :      8.500u      0.000s      5.106w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.417s      0.254w      3 calls
HF: Form core H                     :      0.517u      0.000s      0.318w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.024w      1 calls
HF: Guess                           :      0.117u      0.000s      0.072w      1 calls
SAD Guess                           :      0.117u      0.000s      0.069w      1 calls
HF: Form G                          :     46.683u      6.033s     31.984w     11 calls
JK: D                               :      0.000u      0.000s      0.005w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     46.667u      6.033s     31.971w     11 calls
JK: (Q|mn) Read                     :      0.083u      3.400s      2.091w     45 calls
JK: J                               :      2.550u      0.067s      1.571w     45 calls
JK: J1                              :      1.267u      0.067s      0.789w     45 calls
JK: J2                              :      1.233u      0.000s      0.752w     45 calls
JK: K                               :     43.483u      0.000s     26.092w     45 calls
JK: K1                              :     32.317u      0.000s     19.361w     45 calls
JK: K2                              :     11.167u      0.000s      6.722w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.004w     11 calls
HF: DIIS                            :      0.450u      0.150s      0.418w     10 calls
HF: Form C                          :      0.283u      0.017s      0.189w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.333u      0.000s      0.205w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.000s      0.126w      1 calls
Libint2ERI::Libint2ERI              :      0.433u      0.000s      0.264w      2 calls
JK: (A|Q)^-1                        :      6.350u      0.583s      3.885w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      7.417u      0.000s      4.456w      3 calls
JK: (Q|mn)                          :      8.500u      0.000s      5.106w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.417s      0.254w      3 calls
HF: Form core H                     :      0.517u      0.000s      0.318w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.024w      1 calls
HF: Guess                           :      0.117u      0.000s      0.072w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.069w      1 calls
HF: Form G                          :     46.683u      6.033s     31.984w     11 calls
| JK: D                             :      0.000u      0.000s      0.005w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     46.667u      6.033s     31.971w     11 calls
| | JK: (Q|mn) Read                 :      0.083u      3.400s      2.091w     45 calls
| | JK: J                           :      2.550u      0.067s      1.571w     45 calls
| | | JK: J1                        :      1.267u      0.067s      0.789w     45 calls
| | | JK: J2                        :      1.233u      0.000s      0.752w     45 calls
| | JK: K                           :     43.483u      0.000s     26.092w     45 calls
| | | JK: K1                        :     32.317u      0.000s     19.361w     45 calls
| | | JK: K2                        :     11.167u      0.000s      6.722w     45 calls
