
Host: node_13

Timers On : Tue Feb 25 13:33:35 2025
Timers Off: Tue Feb 25 13:35:34 2025

Wall Time:      118.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.246w      1 calls
Libint2ERI::Libint2ERI              :      1.300u      0.017s      0.781w      8 calls
JK: (A|Q)^-1                        :      8.750u      0.767s      5.347w      1 calls
JK: (A|mn)                          :      9.933u      0.017s      5.987w      4 calls
JK: (Q|mn)                          :     12.317u      0.017s      7.408w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.567s      0.341w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.432w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.033w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
SAD Guess                           :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     90.717u     10.350s     60.837w     15 calls
JK: D                               :      0.000u      0.000s      0.010w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     90.717u     10.350s     60.814w     15 calls
JK: (Q|mn) Read                     :      0.117u      6.550s      3.965w     76 calls
JK: J                               :      4.250u      0.033s      2.636w     76 calls
JK: J1                              :      2.117u      0.033s      1.308w     76 calls
JK: J2                              :      2.083u      0.000s      1.266w     76 calls
JK: K                               :     85.450u      0.083s     51.326w     76 calls
JK: K1                              :     60.783u      0.067s     36.492w     76 calls
JK: K2                              :     24.633u      0.017s     14.815w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.009w     15 calls
HF: Form D                          :      0.033u      0.000s      0.008w     15 calls
HF: DIIS                            :      0.600u      0.250s      0.695w     14 calls
HF: Form C                          :      0.600u      0.000s      0.371w     14 calls
Grad: V T Perturb                   :      1.017u      0.000s      0.609w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
Grad: JK                            :     53.750u      1.783s     33.325w      1 calls
JKGrad: Amn                         :     15.367u      0.367s      9.438w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     10.633u      0.500s      6.680w      1 calls
JKGrad: UV                          :      2.017u      0.433s      1.473w      1 calls
JKGrad: ABx                         :      0.333u      0.117s      0.265w      1 calls
JKGrad: Amnx                        :     25.400u      0.333s     15.449w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.246w      1 calls
| Libint2ERI::Libint2ERI            :      0.250u      0.017s      0.161w      1 calls
Libint2ERI::Libint2ERI              :      0.500u      0.000s      0.300w      2 calls
JK: (A|Q)^-1                        :      8.750u      0.767s      5.347w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      9.933u      0.017s      5.987w      4 calls
JK: (Q|mn)                          :     12.317u      0.017s      7.408w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.567s      0.341w      4 calls
HF: Form core H                     :      0.700u      0.000s      0.432w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.033w      1 calls
HF: Guess                           :      0.117u      0.000s      0.071w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.068w      1 calls
HF: Form G                          :     90.717u     10.350s     60.837w     15 calls
| JK: D                             :      0.000u      0.000s      0.010w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :     90.717u     10.350s     60.814w     15 calls
| | JK: (Q|mn) Read                 :      0.117u      6.550s      3.965w     76 calls
| | JK: J                           :      4.250u      0.033s      2.636w     76 calls
| | | JK: J1                        :      2.117u      0.033s      1.308w     76 calls
| | | JK: J2                        :      2.083u      0.000s      1.266w     76 calls
| | JK: K                           :     85.450u      0.083s     51.326w     76 calls
| | | JK: K1                        :     60.783u      0.067s     36.492w     76 calls
| | | JK: K2                        :     24.633u      0.017s     14.815w     76 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.009w     15 calls
HF: Form D                          :      0.033u      0.000s      0.008w     15 calls
HF: DIIS                            :      0.600u      0.250s      0.695w     14 calls
HF: Form C                          :      0.600u      0.000s      0.371w     14 calls
Grad: V T Perturb                   :      1.017u      0.000s      0.609w      1 calls
Grad: S                             :      0.033u      0.000s      0.021w      1 calls
Grad: JK                            :     53.750u      1.783s     33.325w      1 calls
| JKGrad: Amn                       :     15.367u      0.367s      9.438w      1 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.156w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     10.633u      0.500s      6.680w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      2.017u      0.433s      1.473w      1 calls
| JKGrad: ABx                       :      0.333u      0.117s      0.265w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     25.400u      0.333s     15.449w      1 calls
| | Libint2ERI::Libint2ERI          :      0.267u      0.000s      0.163w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Tue Feb 25 13:35:34 2025
Timers Off: Tue Feb 25 13:37:30 2025

Wall Time:      115.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.033s      0.259w      1 calls
Libint2ERI::Libint2ERI              :      1.267u      0.033s      0.780w      8 calls
JK: (A|Q)^-1                        :      9.017u      0.750s      5.699w      1 calls
JK: (A|mn)                          :      9.700u      0.050s      5.834w      4 calls
JK: (Q|mn)                          :     12.000u      0.050s      7.241w      4 calls
JK: (Q|mn) Write                    :      0.000u      0.567s      0.348w      4 calls
HF: Form core H                     :      0.733u      0.000s      0.439w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.034w      1 calls
HF: Guess                           :      0.100u      0.017s      0.072w      1 calls
SAD Guess                           :      0.100u      0.017s      0.069w      1 calls
HF: Form G                          :     86.417u     10.483s     58.299w     15 calls
JK: D                               :      0.000u      0.000s      0.010w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     86.417u     10.483s     58.276w     15 calls
JK: (Q|mn) Read                     :      0.083u      6.283s      3.847w     76 calls
JK: J                               :      4.150u      0.117s      2.565w     76 calls
JK: J1                              :      2.000u      0.067s      1.271w     76 calls
JK: J2                              :      2.117u      0.017s      1.233w     76 calls
JK: K                               :     81.450u      0.117s     48.976w     76 calls
JK: K1                              :     56.717u      0.083s     34.158w     76 calls
