
Host: node_13

Timers On : Fri Apr 18 16:57:32 2025
Timers Off: Fri Apr 18 16:58:32 2025

Wall Time:       59.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.000s      0.225w      1 calls
Libint2ERI::Libint2ERI              :      0.700u      0.000s      0.422w      4 calls
JK: (A|Q)^-1                        :      7.617u      0.633s      4.797w      1 calls
JK: (A|mn)                          :      8.483u      0.033s      5.122w      3 calls
JK: (Q|mn)                          :     10.267u      0.033s      6.173w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.483s      0.285w      3 calls
HF: Form core H                     :      0.600u      0.017s      0.364w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.029w      1 calls
HF: Guess                           :      0.117u      0.017s      0.070w      1 calls
SAD Guess                           :      0.117u      0.017s      0.068w      1 calls
HF: Form G                          :     57.217u      6.817s     38.480w     11 calls
JK: D                               :      0.000u      0.017s      0.006w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     57.200u      6.783s     38.463w     11 calls
JK: (Q|mn) Read                     :      0.050u      3.967s      2.420w     45 calls
JK: J                               :      2.967u      0.033s      1.781w     45 calls
JK: J1                              :      1.467u      0.033s      0.889w     45 calls
JK: J2                              :      1.467u      0.000s      0.860w     45 calls
JK: K                               :     53.633u      0.117s     32.284w     45 calls
JK: K1                              :     38.233u      0.050s     22.979w     45 calls
JK: K2                              :     15.383u      0.067s      9.295w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.033u      0.000s      0.006w     11 calls
HF: Form D                          :      0.000u      0.000s      0.006w     11 calls
HF: DIIS                            :      0.483u      0.150s      0.536w     10 calls
HF: Form C                          :      0.383u      0.000s      0.235w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.000s      0.225w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.147w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.274w      2 calls
JK: (A|Q)^-1                        :      7.617u      0.633s      4.797w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      8.483u      0.033s      5.122w      3 calls
JK: (Q|mn)                          :     10.267u      0.033s      6.173w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.483s      0.285w      3 calls
HF: Form core H                     :      0.600u      0.017s      0.364w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.029w      1 calls
HF: Guess                           :      0.117u      0.017s      0.070w      1 calls
| SAD Guess                         :      0.117u      0.017s      0.068w      1 calls
HF: Form G                          :     57.217u      6.817s     38.480w     11 calls
| JK: D                             :      0.000u      0.017s      0.006w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     57.200u      6.783s     38.463w     11 calls
| | JK: (Q|mn) Read                 :      0.050u      3.967s      2.420w     45 calls
| | JK: J                           :      2.967u      0.033s      1.781w     45 calls
| | | JK: J1                        :      1.467u      0.033s      0.889w     45 calls
| | | JK: J2                        :      1.467u      0.000s      0.860w     45 calls
| | JK: K                           :     53.633u      0.117s     32.284w     45 calls
| | | JK: K1                        :     38.233u      0.050s     22.979w     45 calls
| | | JK: K2                        :     15.383u      0.067s      9.295w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.033u      0.000s      0.006w     11 calls
HF: Form D                          :      0.000u      0.000s      0.006w     11 calls
HF: DIIS                            :      0.483u      0.150s      0.536w     10 calls
HF: Form C                          :      0.383u      0.000s      0.235w     10 calls

**************************************************************************************

Host: node_13

Timers On : Fri Apr 18 16:58:32 2025
Timers Off: Fri Apr 18 16:59:35 2025

Wall Time:       62.81 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.000s      0.223w      1 calls
Libint2ERI::Libint2ERI              :      0.717u      0.000s      0.418w      4 calls
JK: (A|Q)^-1                        :      7.817u      0.733s      4.799w      1 calls
JK: (A|mn)                          :      8.983u      0.067s      5.433w      4 calls
JK: (Q|mn)                          :     10.683u      0.067s      6.464w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.517s      0.307w      4 calls
HF: Form core H                     :      0.617u      0.017s      0.428w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.033w      1 calls
HF: Guess                           :      0.117u      0.017s      0.071w      1 calls
SAD Guess                           :      0.117u      0.017s      0.068w      1 calls
HF: Form G                          :     61.367u      7.267s     41.421w     11 calls
JK: D                               :      0.050u      0.000s      0.007w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     61.317u      7.267s     41.404w     11 calls
JK: (Q|mn) Read                     :      0.067u      4.250s      2.616w     56 calls
JK: J                               :      3.083u      0.083s      1.928w     56 calls
JK: J1                              :      1.517u      0.050s      0.960w     56 calls
JK: J2                              :      1.550u      0.033s      0.922w     56 calls
