
Host: newton

Timers On : Sat Apr 19 12:50:03 2025
Timers Off: Sat Apr 19 12:52:31 2025

Wall Time:      148.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.450u      0.017s      0.282w      1 calls
Libint2ERI::Libint2ERI              :      1.433u      0.050s      0.877w      8 calls
JK: (A|Q)^-1                        :     11.767u      1.167s      7.132w      1 calls
JK: (A|mn)                          :     11.167u      0.000s      6.711w      3 calls
JK: (Q|mn)                          :     21.483u      0.000s     12.881w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.600s      0.372w      3 calls
HF: Form core H                     :      0.800u      0.000s      0.591w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.065w      1 calls
HF: Guess                           :      0.217u      0.000s      0.129w      1 calls
SAD Guess                           :      0.217u      0.000s      0.125w      1 calls
HF: Form G                          :    112.450u     11.250s     75.843w     16 calls
JK: D                               :      0.050u      0.000s      0.015w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     16 calls
JK: JK                              :    112.350u     11.233s     75.810w     16 calls
JK: (Q|mn) Read                     :      0.150u      6.283s      3.913w     65 calls
JK: J                               :      4.317u      0.083s      2.612w     65 calls
JK: J1                              :      2.033u      0.067s      1.234w     65 calls
JK: J2                              :      2.217u      0.000s      1.335w     65 calls
JK: K                               :    106.650u      0.067s     64.048w     65 calls
JK: K1                              :     63.867u      0.067s     38.375w     65 calls
JK: K2                              :     42.783u      0.000s     25.665w     65 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.017u      0.000s      0.007w     16 calls
HF: Form D                          :      0.033u      0.000s      0.013w     16 calls
HF: DIIS                            :      0.683u      0.183s      0.538w     15 calls
HF: Form C                          :      1.033u      0.000s      0.600w     15 calls
Grad: V T Perturb                   :      1.117u      0.000s      0.669w      1 calls
Grad: S                             :      0.033u      0.000s      0.023w      1 calls
Grad: JK                            :     64.050u      1.817s     39.686w      1 calls
JKGrad: Amn                         :     19.033u      0.450s     11.699w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     14.533u      0.450s      8.983w      1 calls
JKGrad: UV                          :      3.317u      0.417s      2.245w      1 calls
JKGrad: ABx                         :      0.383u      0.083s      0.286w      1 calls
JKGrad: Amnx                        :     26.783u      0.367s     16.286w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.450u      0.017s      0.282w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.017s      0.183w      1 calls
Libint2ERI::Libint2ERI              :      0.583u      0.000s      0.342w      2 calls
JK: (A|Q)^-1                        :     11.767u      1.167s      7.132w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      1 calls
JK: (A|mn)                          :     11.167u      0.000s      6.711w      3 calls
JK: (Q|mn)                          :     21.483u      0.000s     12.881w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.600s      0.372w      3 calls
HF: Form core H                     :      0.800u      0.000s      0.591w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.065w      1 calls
HF: Guess                           :      0.217u      0.000s      0.129w      1 calls
| SAD Guess                         :      0.217u      0.000s      0.125w      1 calls
HF: Form G                          :    112.450u     11.250s     75.843w     16 calls
| JK: D                             :      0.050u      0.000s      0.015w     16 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     16 calls
| JK: JK                            :    112.350u     11.233s     75.810w     16 calls
| | JK: (Q|mn) Read                 :      0.150u      6.283s      3.913w     65 calls
| | JK: J                           :      4.317u      0.083s      2.612w     65 calls
| | | JK: J1                        :      2.033u      0.067s      1.234w     65 calls
| | | JK: J2                        :      2.217u      0.000s      1.335w     65 calls
| | JK: K                           :    106.650u      0.067s     64.048w     65 calls
| | | JK: K1                        :     63.867u      0.067s     38.375w     65 calls
| | | JK: K2                        :     42.783u      0.000s     25.665w     65 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     16 calls
HF: Form F                          :      0.017u      0.000s      0.007w     16 calls
HF: Form D                          :      0.033u      0.000s      0.013w     16 calls
HF: DIIS                            :      0.683u      0.183s      0.538w     15 calls
HF: Form C                          :      1.033u      0.000s      0.600w     15 calls
Grad: V T Perturb                   :      1.117u      0.000s      0.669w      1 calls
Grad: S                             :      0.033u      0.000s      0.023w      1 calls
Grad: JK                            :     64.050u      1.817s     39.686w      1 calls
| JKGrad: Amn                       :     19.033u      0.450s     11.699w      1 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.017s      0.176w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     14.533u      0.450s      8.983w      1 calls
