
Host: newton

Timers On : Mon Apr 21 13:49:05 2025
Timers Off: Mon Apr 21 13:50:29 2025

Wall Time:       84.48 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.450u      0.017s      0.286w      1 calls
Libint2ERI::Libint2ERI              :      0.967u      0.033s      0.588w      4 calls
JK: (A|Q)^-1                        :     11.633u      1.233s      7.050w      1 calls
JK: (A|mn)                          :     11.200u      0.017s      6.735w      3 calls
JK: (Q|mn)                          :     21.450u      0.000s     12.879w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.617s      0.394w      3 calls
HF: Form core H                     :      0.867u      0.000s      0.628w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.052w      1 calls
HF: Guess                           :      0.167u      0.000s      0.095w      1 calls
SAD Guess                           :      0.167u      0.000s      0.091w      1 calls
HF: Form G                          :     76.600u      8.500s     52.398w     11 calls
JK: D                               :      0.017u      0.000s      0.010w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     76.567u      8.500s     52.374w     11 calls
JK: (Q|mn) Read                     :      0.117u      4.717s      2.931w     45 calls
JK: J                               :      3.117u      0.017s      1.887w     45 calls
JK: J1                              :      1.467u      0.017s      0.892w     45 calls
JK: J2                              :      1.600u      0.000s      0.964w     45 calls
JK: K                               :     72.583u      0.017s     43.557w     45 calls
JK: K1                              :     43.417u      0.017s     26.073w     45 calls
JK: K2                              :     29.167u      0.000s     17.478w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.033u      0.000s      0.005w     11 calls
HF: Form D                          :      0.017u      0.000s      0.009w     11 calls
HF: DIIS                            :      0.467u      0.167s      0.426w     10 calls
HF: Form C                          :      0.750u      0.000s      0.419w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.450u      0.017s      0.286w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.017s      0.186w      1 calls
Libint2ERI::Libint2ERI              :      0.683u      0.017s      0.401w      2 calls
JK: (A|Q)^-1                        :     11.633u      1.233s      7.050w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     11.200u      0.017s      6.735w      3 calls
JK: (Q|mn)                          :     21.450u      0.000s     12.879w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.617s      0.394w      3 calls
HF: Form core H                     :      0.867u      0.000s      0.628w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.052w      1 calls
HF: Guess                           :      0.167u      0.000s      0.095w      1 calls
| SAD Guess                         :      0.167u      0.000s      0.091w      1 calls
HF: Form G                          :     76.600u      8.500s     52.398w     11 calls
| JK: D                             :      0.017u      0.000s      0.010w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     76.567u      8.500s     52.374w     11 calls
| | JK: (Q|mn) Read                 :      0.117u      4.717s      2.931w     45 calls
| | JK: J                           :      3.117u      0.017s      1.887w     45 calls
