
Host: newton

Timers On : Mon Apr 21 14:31:52 2025
Timers Off: Mon Apr 21 14:36:56 2025

Wall Time:      304.05 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.433u      0.033s      0.278w      1 calls
Libint2ERI::Libint2ERI              :      1.483u      0.050s      0.909w      8 calls
JK: (A|Q)^-1                        :     11.667u      1.167s      7.115w      1 calls
JK: (A|mn)                          :     11.217u      0.000s      6.722w      3 calls
JK: (Q|mn)                          :     20.367u      0.017s     12.236w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.567s      0.348w      3 calls
HF: Form core H                     :      0.783u      0.000s      0.589w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.033w      1 calls
HF: Guess                           :      0.200u      0.000s      0.128w      1 calls
SAD Guess                           :      0.200u      0.000s      0.123w      1 calls
HF: Form G                          :    336.867u     36.283s    230.285w     50 calls
JK: D                               :      0.017u      0.000s      0.029w     50 calls
JK: USO2AO                          :      0.417u      0.017s      0.296w     50 calls
JK: JK                              :    335.417u     36.233s    229.369w     50 calls
JK: (Q|mn) Read                     :      0.433u     19.350s     11.905w    201 calls
JK: J                               :     12.283u      0.233s      7.566w    201 calls
JK: J1                              :      5.783u      0.183s      3.573w    201 calls
JK: J2                              :      6.350u      0.017s      3.864w    201 calls
JK: K                               :    318.667u      1.217s    191.860w    201 calls
JK: K1                              :    187.250u      0.717s    112.778w    201 calls
JK: K2                              :    131.317u      0.500s     79.052w    201 calls
JK: AO2USO                          :      0.950u      0.033s      0.556w     50 calls
HF: Form F                          :      0.017u      0.000s      0.016w     50 calls
HF: Form D                          :      0.050u      0.000s      0.022w     50 calls
HF: DIIS                            :      1.267u      0.567s      1.130w     49 calls
HF: Form C                          :      1.950u      0.000s      1.125w     49 calls
Grad: V T Perturb                   :      1.167u      0.000s      0.705w      1 calls
Grad: S                             :      0.050u      0.000s      0.023w      1 calls
Grad: JK                            :     64.733u      1.833s     40.148w      1 calls
JKGrad: Amn                         :     19.317u      0.483s     11.892w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     14.850u      0.450s      9.184w      1 calls
JKGrad: UV                          :      3.450u      0.433s      2.330w      1 calls
JKGrad: ABx                         :      0.383u      0.100s      0.293w      1 calls
JKGrad: Amnx                        :     26.733u      0.333s     16.249w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.433u      0.033s      0.278w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.033s      0.181w      1 calls
Libint2ERI::Libint2ERI              :      0.617u      0.000s      0.366w      2 calls
JK: (A|Q)^-1                        :     11.667u      1.167s      7.115w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.001w      1 calls
JK: (A|mn)                          :     11.217u      0.000s      6.722w      3 calls
JK: (Q|mn)                          :     20.367u      0.017s     12.236w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.567s      0.348w      3 calls
HF: Form core H                     :      0.783u      0.000s      0.589w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.033w      1 calls
HF: Guess                           :      0.200u      0.000s      0.128w      1 calls
| SAD Guess                         :      0.200u      0.000s      0.123w      1 calls
HF: Form G                          :    336.867u     36.283s    230.285w     50 calls
| JK: D                             :      0.017u      0.000s      0.029w     50 calls
| JK: USO2AO                        :      0.417u      0.017s      0.296w     50 calls
| JK: JK                            :    335.417u     36.233s    229.369w     50 calls
| | JK: (Q|mn) Read                 :      0.433u     19.350s     11.905w    201 calls
| | JK: J                           :     12.283u      0.233s      7.566w    201 calls
| | | JK: J1                        :      5.783u      0.183s      3.573w    201 calls
| | | JK: J2                        :      6.350u      0.017s      3.864w    201 calls
| | JK: K                           :    318.667u      1.217s    191.860w    201 calls
| | | JK: K1                        :    187.250u      0.717s    112.778w    201 calls
| | | JK: K2                        :    131.317u      0.500s     79.052w    201 calls
| JK: AO2USO                        :      0.950u      0.033s      0.556w     50 calls
HF: Form F                          :      0.017u      0.000s      0.016w     50 calls
HF: Form D                          :      0.050u      0.000s      0.022w     50 calls
HF: DIIS                            :      1.267u      0.567s      1.130w     49 calls
HF: Form C                          :      1.950u      0.000s      1.125w     49 calls
Grad: V T Perturb                   :      1.167u      0.000s      0.705w      1 calls
Grad: S                             :      0.050u      0.000s      0.023w      1 calls
Grad: JK                            :     64.733u      1.833s     40.148w      1 calls
| JKGrad: Amn                       :     19.317u      0.483s     11.892w      1 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.185w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     14.850u      0.450s      9.184w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      1 calls
| JKGrad: UV                        :      3.450u      0.433s      2.330w      1 calls
| JKGrad: ABx                       :      0.383u      0.100s      0.293w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     26.733u      0.333s     16.249w      1 calls
