
Host: newton

Timers On : Fri Apr 25 13:12:07 2025
Timers Off: Fri Apr 25 13:18:15 2025

Wall Time:      368.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.550u      0.033s      0.339w      1 calls
Libint2ERI::Libint2ERI              :      1.817u      0.033s      1.109w      8 calls
JK: (A|Q)^-1                        :     14.700u      1.500s      8.917w      1 calls
JK: (A|mn)                          :     12.517u      0.000s      7.512w      4 calls
JK: (Q|mn)                          :     26.333u      0.000s     15.805w      4 calls
JK: (Q|mn) Write                    :      0.050u      0.667s      0.423w      4 calls
HF: Form core H                     :      1.033u      0.000s      0.768w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.030w      1 calls
HF: Guess                           :      0.133u      0.000s      0.092w      1 calls
SAD Guess                           :      0.133u      0.000s      0.088w      1 calls
HF: Form G                          :    413.400u     36.150s    275.146w     49 calls
JK: D                               :      0.033u      0.000s      0.030w     49 calls
JK: USO2AO                          :      0.633u      0.000s      0.362w     49 calls
JK: JK                              :    411.583u     36.083s    274.058w     49 calls
JK: (Q|mn) Read                     :      0.700u     21.050s     13.128w    247 calls
JK: J                               :     14.483u      0.433s      8.789w    247 calls
JK: J1                              :      6.883u      0.283s      4.147w    247 calls
JK: J2                              :      7.467u      0.050s      4.493w    247 calls
JK: K                               :    392.667u      0.217s    235.778w    247 calls
JK: K1                              :    218.800u      0.167s    131.454w    247 calls
JK: K2                              :    173.733u      0.033s    104.286w    247 calls
JK: AO2USO                          :      1.067u      0.067s      0.658w     49 calls
HF: Form F                          :      0.033u      0.000s      0.017w     49 calls
HF: Form D                          :      0.067u      0.000s      0.028w     49 calls
HF: DIIS                            :      1.467u      0.450s      1.233w     48 calls
HF: Form C                          :      2.267u      0.050s      1.349w     48 calls
Grad: V T Perturb                   :      1.500u      0.000s      0.897w      1 calls
Grad: S                             :      0.050u      0.000s      0.027w      1 calls
Grad: JK                            :     84.017u      2.183s     51.972w      1 calls
JKGrad: Amn                         :     24.217u      0.483s     14.824w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     19.817u      0.583s     12.239w      1 calls
JKGrad: UV                          :      4.950u      0.600s      3.337w      1 calls
JKGrad: ABx                         :      0.500u      0.117s      0.361w      1 calls
JKGrad: Amnx                        :     34.533u      0.367s     20.942w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.550u      0.033s      0.339w      1 calls
| Libint2ERI::Libint2ERI            :      0.333u      0.033s      0.220w      1 calls
Libint2ERI::Libint2ERI              :      0.750u      0.000s      0.449w      2 calls
JK: (A|Q)^-1                        :     14.700u      1.500s      8.917w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     12.517u      0.000s      7.512w      4 calls
JK: (Q|mn)                          :     26.333u      0.000s     15.805w      4 calls
JK: (Q|mn) Write                    :      0.050u      0.667s      0.423w      4 calls
HF: Form core H                     :      1.033u      0.000s      0.768w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.030w      1 calls
HF: Guess                           :      0.133u      0.000s      0.092w      1 calls
| SAD Guess                         :      0.133u      0.000s      0.088w      1 calls
HF: Form G                          :    413.400u     36.150s    275.146w     49 calls
| JK: D                             :      0.033u      0.000s      0.030w     49 calls
| JK: USO2AO                        :      0.633u      0.000s      0.362w     49 calls
| JK: JK                            :    411.583u     36.083s    274.058w     49 calls
| | JK: (Q|mn) Read                 :      0.700u     21.050s     13.128w    247 calls
| | JK: J                           :     14.483u      0.433s      8.789w    247 calls
| | | JK: J1                        :      6.883u      0.283s      4.147w    247 calls
| | | JK: J2                        :      7.467u      0.050s      4.493w    247 calls
| | JK: K                           :    392.667u      0.217s    235.778w    247 calls
| | | JK: K1                        :    218.800u      0.167s    131.454w    247 calls
| | | JK: K2                        :    173.733u      0.033s    104.286w    247 calls
| JK: AO2USO                        :      1.067u      0.067s      0.658w     49 calls
