
Host: newton

Timers On : Fri Apr 25 13:31:26 2025
Timers Off: Fri Apr 25 13:34:50 2025

Wall Time:      203.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.550u      0.017s      0.341w      1 calls
Libint2ERI::Libint2ERI              :      1.050u      0.017s      0.640w      4 calls
JK: (A|Q)^-1                        :     14.717u      1.500s      8.929w      1 calls
JK: (A|mn)                          :     12.583u      0.017s      7.566w      4 calls
JK: (Q|mn)                          :     26.200u      0.117s     15.785w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.717s      0.444w      4 calls
HF: Form core H                     :      1.100u      0.000s      0.784w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.034w      1 calls
HF: Guess                           :      0.150u      0.000s      0.089w      1 calls
SAD Guess                           :      0.133u      0.000s      0.086w      1 calls
HF: Form G                          :    243.367u     25.217s    164.756w     28 calls
JK: D                               :      0.000u      0.000s      0.021w     28 calls
JK: USO2AO                          :      0.317u      0.000s      0.212w     28 calls
JK: JK                              :    242.383u     25.150s    164.079w     28 calls
JK: (Q|mn) Read                     :      0.450u     13.883s      8.524w    142 calls
JK: J                               :      8.700u      0.383s      5.490w    142 calls
JK: J1                              :      3.917u      0.117s      2.554w    142 calls
JK: J2                              :      4.667u      0.217s      2.828w    142 calls
JK: K                               :    231.083u      1.967s    139.797w    142 calls
JK: K1                              :    128.783u      1.167s     78.013w    142 calls
JK: K2                              :    102.233u      0.800s     61.754w    142 calls
JK: AO2USO                          :      0.567u      0.033s      0.410w     28 calls
HF: Form F                          :      0.050u      0.000s      0.018w     28 calls
HF: Form D                          :      0.067u      0.000s      0.017w     28 calls
HF: DIIS                            :      1.067u      0.383s      0.850w     27 calls
HF: Form C                          :      1.317u      0.000s      0.810w     27 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.550u      0.017s      0.341w      1 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.017s      0.222w      1 calls
Libint2ERI::Libint2ERI              :      0.700u      0.000s      0.417w      2 calls
JK: (A|Q)^-1                        :     14.717u      1.500s      8.929w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     12.583u      0.017s      7.566w      4 calls
JK: (Q|mn)                          :     26.200u      0.117s     15.785w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.717s      0.444w      4 calls
HF: Form core H                     :      1.100u      0.000s      0.784w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.034w      1 calls
HF: Guess                           :      0.150u      0.000s      0.089w      1 calls
| SAD Guess                         :      0.133u      0.000s      0.086w      1 calls
HF: Form G                          :    243.367u     25.217s    164.756w     28 calls
| JK: D                             :      0.000u      0.000s      0.021w     28 calls
| JK: USO2AO                        :      0.317u      0.000s      0.212w     28 calls
| JK: JK                            :    242.383u     25.150s    164.079w     28 calls
| | JK: (Q|mn) Read                 :      0.450u     13.883s      8.524w    142 calls
| | JK: J                           :      8.700u      0.383s      5.490w    142 calls
| | | JK: J1                        :      3.917u      0.117s      2.554w    142 calls
| | | JK: J2                        :      4.667u      0.217s      2.828w    142 calls
| | JK: K                           :    231.083u      1.967s    139.797w    142 calls
| | | JK: K1                        :    128.783u      1.167s     78.013w    142 calls
| | | JK: K2                        :    102.233u      0.800s     61.754w    142 calls
| JK: AO2USO                        :      0.567u      0.033s      0.410w     28 calls
HF: Form F                          :      0.050u      0.000s      0.018w     28 calls
HF: Form D                          :      0.067u      0.000s      0.017w     28 calls
HF: DIIS                            :      1.067u      0.383s      0.850w     27 calls
HF: Form C                          :      1.317u      0.000s      0.810w     27 calls

**************************************************************************************

Host: newton

Timers On : Fri Apr 25 13:34:50 2025
Timers Off: Fri Apr 25 13:36:39 2025

Wall Time:      109.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.567u      0.017s      0.353w      1 calls
Libint2ERI::Libint2ERI              :      1.067u      0.017s      0.656w      4 calls
JK: (A|Q)^-1                        :     15.367u      1.567s      9.327w      1 calls
JK: (A|mn)                          :     13.917u      0.083s      8.399w      5 calls
JK: (Q|mn)                          :     29.250u      0.200s     17.654w      5 calls
JK: (Q|mn) Write                    :      0.033u      0.783s      0.516w      5 calls
HF: Form core H                     :      1.117u      0.017s      0.791w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.063w      1 calls
HF: Guess                           :      0.167u      0.000s      0.091w      1 calls
SAD Guess                           :      0.133u      0.000s      0.088w      1 calls
HF: Form G                          :    101.133u      9.017s     67.865w     11 calls
JK: D                               :      0.000u      0.000s      0.012w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :    101.117u      9.000s     67.839w     11 calls
JK: (Q|mn) Read                     :      0.167u      5.200s      3.254w     67 calls
JK: J                               :      3.433u      0.083s      2.129w     67 calls
JK: J1                              :      1.617u      0.017s      0.999w     67 calls
JK: J2                              :      1.783u      0.033s      1.087w     67 calls
JK: K                               :     96.550u      0.467s     58.169w     67 calls
JK: K1                              :     56.317u      0.267s     33.921w     67 calls
JK: K2                              :     40.167u      0.200s     24.237w     67 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.005w     11 calls
