
Host: newton

Timers On : Fri Apr 25 15:31:43 2025
Timers Off: Fri Apr 25 15:37:59 2025

Wall Time:      376.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.567u      0.000s      0.339w      1 calls
Libint2ERI::Libint2ERI              :      1.867u      0.000s      1.124w      8 calls
JK: (A|Q)^-1                        :     14.283u      1.417s      8.648w      1 calls
JK: (A|mn)                          :     12.583u      0.000s      7.544w      4 calls
JK: (Q|mn)                          :     26.200u      0.000s     15.719w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.700s      0.441w      4 calls
HF: Form core H                     :      1.083u      0.017s      0.839w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.040w      1 calls
HF: Guess                           :      0.183u      0.017s      0.117w      1 calls
SAD Guess                           :      0.183u      0.017s      0.113w      1 calls
HF: Form G                          :    422.633u     37.517s    282.376w     49 calls
JK: D                               :      0.067u      0.000s      0.032w     49 calls
JK: USO2AO                          :      0.600u      0.000s      0.364w     49 calls
JK: JK                              :    420.817u     37.450s    281.255w     49 calls
JK: (Q|mn) Read                     :      0.617u     22.033s     13.612w    247 calls
JK: J                               :     14.817u      0.217s      8.934w    247 calls
JK: J1                              :      7.067u      0.133s      4.215w    247 calls
JK: J2                              :      7.583u      0.033s      4.562w    247 calls
JK: K                               :    401.617u      0.617s    241.400w    247 calls
JK: K1                              :    221.267u      0.333s    132.982w    247 calls
JK: K2                              :    180.283u      0.267s    108.378w    247 calls
JK: AO2USO                          :      1.150u      0.033s      0.687w     49 calls
HF: Form F                          :      0.050u      0.000s      0.017w     49 calls
HF: Form D                          :      0.050u      0.000s      0.027w     49 calls
HF: DIIS                            :      1.517u      0.617s      1.259w     48 calls
HF: Form C                          :      2.400u      0.000s      1.411w     48 calls
Grad: V T Perturb                   :      1.500u      0.000s      0.899w      1 calls
Grad: S                             :      0.050u      0.000s      0.026w      1 calls
Grad: JK                            :     86.033u      2.217s     53.338w      1 calls
JKGrad: Amn                         :     28.833u      0.567s     17.647w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     19.067u      0.617s     11.813w      1 calls
JKGrad: UV                          :      4.917u      0.533s      3.260w      1 calls
JKGrad: ABx                         :      0.483u      0.100s      0.352w      1 calls
JKGrad: Amnx                        :     32.733u      0.350s     19.860w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.567u      0.000s      0.339w      1 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.000s      0.220w      1 calls
Libint2ERI::Libint2ERI              :      0.700u      0.000s      0.417w      2 calls
JK: (A|Q)^-1                        :     14.283u      1.417s      8.648w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     12.583u      0.000s      7.544w      4 calls
JK: (Q|mn)                          :     26.200u      0.000s     15.719w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.700s      0.441w      4 calls
HF: Form core H                     :      1.083u      0.017s      0.839w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.040w      1 calls
HF: Guess                           :      0.183u      0.017s      0.117w      1 calls
| SAD Guess                         :      0.183u      0.017s      0.113w      1 calls
HF: Form G                          :    422.633u     37.517s    282.376w     49 calls
| JK: D                             :      0.067u      0.000s      0.032w     49 calls
| JK: USO2AO                        :      0.600u      0.000s      0.364w     49 calls
| JK: JK                            :    420.817u     37.450s    281.255w     49 calls
| | JK: (Q|mn) Read                 :      0.617u     22.033s     13.612w    247 calls
| | JK: J                           :     14.817u      0.217s      8.934w    247 calls
| | | JK: J1                        :      7.067u      0.133s      4.215w    247 calls
| | | JK: J2                        :      7.583u      0.033s      4.562w    247 calls
| | JK: K                           :    401.617u      0.617s    241.400w    247 calls
| | | JK: K1                        :    221.267u      0.333s    132.982w    247 calls
| | | JK: K2                        :    180.283u      0.267s    108.378w    247 calls
| JK: AO2USO                        :      1.150u      0.033s      0.687w     49 calls
HF: Form F                          :      0.050u      0.000s      0.017w     49 calls
HF: Form D                          :      0.050u      0.000s      0.027w     49 calls
HF: DIIS                            :      1.517u      0.617s      1.259w     48 calls
HF: Form C                          :      2.400u      0.000s      1.411w     48 calls
Grad: V T Perturb                   :      1.500u      0.000s      0.899w      1 calls
Grad: S                             :      0.050u      0.000s      0.026w      1 calls
Grad: JK                            :     86.033u      2.217s     53.338w      1 calls
| JKGrad: Amn                       :     28.833u      0.567s     17.647w      1 calls
| | Libint2ERI::Libint2ERI          :      0.450u      0.000s      0.271w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     19.067u      0.617s     11.813w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      4.917u      0.533s      3.260w      1 calls
| JKGrad: ABx                       :      0.483u      0.100s      0.352w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     32.733u      0.350s     19.860w      1 calls
| | Libint2ERI::Libint2ERI          :      0.350u      0.000s      0.215w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: newton

Timers On : Fri Apr 25 15:38:00 2025
Timers Off: Fri Apr 25 15:41:10 2025

Wall Time:      190.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.583u      0.017s      0.359w      1 calls
Libint2ERI::Libint2ERI              :      1.850u      0.017s      1.112w      8 calls
JK: (A|Q)^-1                        :     15.400u      1.350s      9.314w      1 calls
JK: (A|mn)                          :     13.933u      0.000s      8.365w      5 calls
JK: (Q|mn)                          :     29.050u      0.000s     17.442w      5 calls
JK: (Q|mn) Write                    :      0.050u      0.950s      0.585w      5 calls
HF: Form core H                     :      1.167u      0.000s      0.921w      1 calls
HF: Form S/X                        :      0.117u      0.017s      0.080w      1 calls
HF: Guess                           :      0.183u      0.017s      0.111w      1 calls
SAD Guess                           :      0.167u      0.017s      0.107w      1 calls
HF: Form G                          :    138.000u     13.833s     93.262w     15 calls
JK: D                               :      0.050u      0.000s      0.016w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :    137.933u     13.833s     93.223w     15 calls
JK: (Q|mn) Read                     :      0.300u      8.700s      5.400w     91 calls
JK: J                               :      4.817u      0.117s      2.959w     91 calls
JK: J1                              :      2.233u      0.083s      1.390w     91 calls
JK: J2                              :      2.533u      0.017s      1.509w     91 calls
JK: K                               :    131.850u      0.483s     79.400w     91 calls
JK: K1                              :     77.250u      0.233s     46.512w     91 calls
JK: K2                              :     54.550u      0.233s     32.872w     91 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.017s      0.010w     15 calls
HF: Form D                          :      0.017u      0.000s      0.016w     15 calls
HF: DIIS                            :      0.817u      0.250s      0.631w     14 calls
HF: Form C                          :      1.250u      0.000s      0.759w     14 calls
Grad: V T Perturb                   :      1.583u      0.000s      0.954w      1 calls
Grad: S                             :      0.050u      0.000s      0.029w      1 calls
Grad: JK                            :     88.350u      2.283s     54.689w      1 calls
JKGrad: Amn                         :     26.250u      0.600s     16.109w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     20.483u      0.633s     12.663w      1 calls
JKGrad: UV                          :      5.033u      0.533s      3.338w      1 calls
JKGrad: ABx                         :      0.500u      0.100s      0.362w      1 calls
JKGrad: Amnx                        :     36.083u      0.367s     21.878w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.583u      0.017s      0.359w      1 calls
| Libint2ERI::Libint2ERI            :      0.350u      0.017s      0.231w      1 calls
Libint2ERI::Libint2ERI              :      0.750u      0.000s      0.443w      2 calls
JK: (A|Q)^-1                        :     15.400u      1.350s      9.314w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     13.933u      0.000s      8.365w      5 calls
JK: (Q|mn)                          :     29.050u      0.000s     17.442w      5 calls
JK: (Q|mn) Write                    :      0.050u      0.950s      0.585w      5 calls
HF: Form core H                     :      1.167u      0.000s      0.921w      1 calls
HF: Form S/X                        :      0.117u      0.017s      0.080w      1 calls
HF: Guess                           :      0.183u      0.017s      0.111w      1 calls
| SAD Guess                         :      0.167u      0.017s      0.107w      1 calls
HF: Form G                          :    138.000u     13.833s     93.262w     15 calls
| JK: D                             :      0.050u      0.000s      0.016w     15 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     15 calls
| JK: JK                            :    137.933u     13.833s     93.223w     15 calls
| | JK: (Q|mn) Read                 :      0.300u      8.700s      5.400w     91 calls
| | JK: J                           :      4.817u      0.117s      2.959w     91 calls
| | | JK: J1                        :      2.233u      0.083s      1.390w     91 calls
| | | JK: J2                        :      2.533u      0.017s      1.509w     91 calls
| | JK: K                           :    131.850u      0.483s     79.400w     91 calls
| | | JK: K1                        :     77.250u      0.233s     46.512w     91 calls
| | | JK: K2                        :     54.550u      0.233s     32.872w     91 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.017s      0.010w     15 calls
HF: Form D                          :      0.017u      0.000s      0.016w     15 calls
HF: DIIS                            :      0.817u      0.250s      0.631w     14 calls
HF: Form C                          :      1.250u      0.000s      0.759w     14 calls
Grad: V T Perturb                   :      1.583u      0.000s      0.954w      1 calls
Grad: S                             :      0.050u      0.000s      0.029w      1 calls
Grad: JK                            :     88.350u      2.283s     54.689w      1 calls
| JKGrad: Amn                       :     26.250u      0.600s     16.109w      1 calls
