
Host: node_13

Timers On : Fri Apr 25 13:25:17 2025
Timers Off: Fri Apr 25 13:29:43 2025

Wall Time:      266.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.633u      0.033s      0.398w      1 calls
Libint2ERI::Libint2ERI              :      1.533u      0.033s      0.945w      8 calls
JK: (A|Q)^-1                        :     10.100u      0.650s      6.132w      1 calls
JK: (A|mn)                          :      9.750u      0.000s      5.846w      4 calls
JK: (Q|mn)                          :     13.367u      0.000s      8.033w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.550s      0.332w      4 calls
HF: Form core H                     :      0.783u      0.000s      0.477w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.021w      1 calls
HF: Guess                           :      0.133u      0.000s      0.075w      1 calls
SAD Guess                           :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :    304.300u     32.000s    202.421w     49 calls
JK: D                               :      0.033u      0.000s      0.021w     49 calls
JK: USO2AO                          :      0.250u      0.000s      0.186w     49 calls
JK: JK                              :    303.383u     31.900s    201.792w     49 calls
JK: (Q|mn) Read                     :      0.400u     20.067s     12.289w    247 calls
JK: J                               :     14.600u      0.367s      9.056w    247 calls
JK: J1                              :      7.133u      0.250s      4.473w    247 calls
JK: J2                              :      7.283u      0.033s      4.409w    247 calls
JK: K                               :    285.950u      0.333s    171.773w    247 calls
JK: K1                              :    191.650u      0.217s    115.094w    247 calls
JK: K2                              :     94.183u      0.117s     56.610w    247 calls
JK: AO2USO                          :      0.600u      0.100s      0.392w     49 calls
HF: Form F                          :      0.033u      0.000s      0.022w     49 calls
HF: Form D                          :      0.000u      0.000s      0.016w     49 calls
HF: DIIS                            :      1.267u      0.367s      1.240w     48 calls
HF: Form C                          :      1.317u      0.000s      0.810w     48 calls
Grad: V T Perturb                   :      1.117u      0.000s      0.677w      1 calls
Grad: S                             :      0.050u      0.000s      0.026w      1 calls
Grad: JK                            :     57.367u      1.817s     35.878w      1 calls
JKGrad: Amn                         :     15.767u      0.367s      9.681w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     12.933u      0.483s      8.053w      1 calls
JKGrad: UV                          :      2.417u      0.467s      1.737w      1 calls
JKGrad: ABx                         :      0.367u      0.100s      0.284w      1 calls
JKGrad: Amnx                        :     25.883u      0.383s     15.754w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.633u      0.033s      0.398w      1 calls
| Libint2ERI::Libint2ERI            :      0.417u      0.033s      0.258w      1 calls
Libint2ERI::Libint2ERI              :      0.550u      0.000s      0.334w      2 calls
JK: (A|Q)^-1                        :     10.100u      0.650s      6.132w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :      9.750u      0.000s      5.846w      4 calls
JK: (Q|mn)                          :     13.367u      0.000s      8.033w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.550s      0.332w      4 calls
HF: Form core H                     :      0.783u      0.000s      0.477w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.021w      1 calls
HF: Guess                           :      0.133u      0.000s      0.075w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :    304.300u     32.000s    202.421w     49 calls
| JK: D                             :      0.033u      0.000s      0.021w     49 calls
| JK: USO2AO                        :      0.250u      0.000s      0.186w     49 calls
| JK: JK                            :    303.383u     31.900s    201.792w     49 calls
| | JK: (Q|mn) Read                 :      0.400u     20.067s     12.289w    247 calls
| | JK: J                           :     14.600u      0.367s      9.056w    247 calls
| | | JK: J1                        :      7.133u      0.250s      4.473w    247 calls
| | | JK: J2                        :      7.283u      0.033s      4.409w    247 calls
| | JK: K                           :    285.950u      0.333s    171.773w    247 calls
| | | JK: K1                        :    191.650u      0.217s    115.094w    247 calls
| | | JK: K2                        :     94.183u      0.117s     56.610w    247 calls
| JK: AO2USO                        :      0.600u      0.100s      0.392w     49 calls
HF: Form F                          :      0.033u      0.000s      0.022w     49 calls
HF: Form D                          :      0.000u      0.000s      0.016w     49 calls
HF: DIIS                            :      1.267u      0.367s      1.240w     48 calls
HF: Form C                          :      1.317u      0.000s      0.810w     48 calls
Grad: V T Perturb                   :      1.117u      0.000s      0.677w      1 calls
Grad: S                             :      0.050u      0.000s      0.026w      1 calls
Grad: JK                            :     57.367u      1.817s     35.878w      1 calls
| JKGrad: Amn                       :     15.767u      0.367s      9.681w      1 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.000s      0.175w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     12.933u      0.483s      8.053w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      2.417u      0.467s      1.737w      1 calls
| JKGrad: ABx                       :      0.367u      0.100s      0.284w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: Amnx                      :     25.883u      0.383s     15.754w      1 calls
| | Libint2ERI::Libint2ERI          :      0.283u      0.000s      0.177w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************

Host: node_13

Timers On : Fri Apr 25 13:29:43 2025
Timers Off: Fri Apr 25 13:31:59 2025

Wall Time:      135.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.650u      0.000s      0.404w      1 calls
Libint2ERI::Libint2ERI              :      1.567u      0.000s      0.950w      8 calls
JK: (A|Q)^-1                        :     10.600u      0.733s      6.450w      1 calls
JK: (A|mn)                          :     10.767u      0.000s      6.482w      5 calls
JK: (Q|mn)                          :     15.033u      0.000s      9.003w      5 calls
JK: (Q|mn) Write                    :      0.017u      0.617s      0.372w      5 calls
HF: Form core H                     :      0.850u      0.000s      0.504w      1 calls
HF: Form S/X                        :      0.050u      0.017s      0.037w      1 calls
HF: Guess                           :      0.117u      0.000s      0.073w      1 calls
SAD Guess                           :      0.117u      0.000s      0.070w      1 calls
HF: Form G                          :    104.850u     10.650s     69.595w     15 calls
JK: D                               :      0.017u      0.000s      0.011w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :    104.817u     10.650s     69.568w     15 calls
JK: (Q|mn) Read                     :      0.200u      6.933s      4.222w     91 calls
JK: J                               :      4.917u      0.050s      3.043w     91 calls
JK: J1                              :      2.367u      0.050s      1.497w     91 calls
JK: J2                              :      2.433u      0.000s      1.477w     91 calls
JK: K                               :     99.067u      0.033s     59.494w     91 calls
JK: K1                              :     69.550u      0.017s     41.776w     91 calls
