
Host: node_13

Timers On : Wed Apr  2 13:10:18 2025
Timers Off: Wed Apr  2 13:11:59 2025

Wall Time:      100.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.500u      0.017s      0.307w      1 calls
Libint2ERI::Libint2ERI              :      1.283u      0.017s      0.775w      8 calls
JK: (A|Q)^-1                        :      7.283u      0.583s      4.459w      1 calls
JK: (A|mn)                          :      7.583u      0.033s      4.563w      3 calls
JK: (Q|mn)                          :      9.900u      0.017s      5.958w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.467s      0.281w      3 calls
HF: Form core H                     :      0.600u      0.000s      0.358w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.030w      1 calls
HF: Guess                           :      0.117u      0.000s      0.075w      1 calls
SAD Guess                           :      0.117u      0.000s      0.072w      1 calls
HF: Form G                          :     77.700u      9.717s     52.508w     15 calls
JK: D                               :      0.017u      0.000s      0.009w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     77.650u      9.717s     52.485w     15 calls
JK: (Q|mn) Read                     :      0.067u      5.517s      3.357w     61 calls
JK: J                               :      3.750u      0.083s      2.293w     61 calls
JK: J1                              :      1.767u      0.033s      1.146w     61 calls
JK: J2                              :      1.933u      0.000s      1.105w     61 calls
JK: K                               :     73.050u      0.100s     43.919w     61 calls
JK: K1                              :     52.700u      0.067s     31.679w     61 calls
JK: K2                              :     20.317u      0.033s     12.226w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.008w     15 calls
HF: Form D                          :      0.000u      0.000s      0.008w     15 calls
HF: DIIS                            :      0.617u      0.217s      1.248w     14 calls
HF: Form C                          :      0.583u      0.000s      0.331w     14 calls
Grad: V T Perturb                   :      0.917u      0.000s      0.550w      1 calls
Grad: S                             :      0.033u      0.000s      0.019w      1 calls
Grad: JK                            :     43.033u      1.633s     26.816w      1 calls
JKGrad: Amn                         :     12.333u      0.383s      7.631w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      9.083u      0.467s      5.736w      1 calls
JKGrad: UV                          :      1.633u      0.350s      1.192w      1 calls
