
Host: node_13

Timers On : Wed Apr  2 13:43:56 2025
Timers Off: Wed Apr  2 13:44:52 2025

Wall Time:       56.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.350u      0.017s      0.229w      1 calls
Libint2ERI::Libint2ERI              :      0.683u      0.017s      0.424w      4 calls
JK: (A|Q)^-1                        :      7.150u      0.667s      4.383w      1 calls
JK: (A|mn)                          :      7.550u      0.050s      4.560w      3 calls
JK: (Q|mn)                          :      9.783u      0.033s      5.891w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.274w      3 calls
HF: Form core H                     :      0.567u      0.017s      0.348w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.031w      1 calls
HF: Guess                           :      0.133u      0.000s      0.077w      1 calls
SAD Guess                           :      0.117u      0.000s      0.074w      1 calls
HF: Form G                          :     55.083u      7.017s     37.316w     11 calls
JK: D                               :      0.017u      0.000s      0.006w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     55.050u      7.017s     37.300w     11 calls
JK: (Q|mn) Read                     :      0.067u      3.950s      2.421w     45 calls
JK: J                               :      2.717u      0.050s      1.619w     45 calls
JK: J1                              :      1.383u      0.050s      0.813w     45 calls
JK: J2                              :      1.300u      0.000s      0.777w     45 calls
JK: K                               :     51.733u      0.167s     31.161w     45 calls
JK: K1                              :     36.850u      0.100s     22.152w     45 calls
JK: K2                              :     14.850u      0.067s      8.999w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.017u      0.000s      0.006w     11 calls
HF: Form D                          :      0.000u      0.000s      0.005w     11 calls
HF: DIIS                            :      0.450u      0.167s      0.588w     10 calls
HF: Form C                          :      0.450u      0.000s      0.234w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.350u      0.017s      0.229w      1 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.017s      0.147w      1 calls
Libint2ERI::Libint2ERI              :      0.467u      0.000s      0.276w      2 calls
JK: (A|Q)^-1                        :      7.150u      0.667s      4.383w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      7.550u      0.050s      4.560w      3 calls
JK: (Q|mn)                          :      9.783u      0.033s      5.891w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.433s      0.274w      3 calls
HF: Form core H                     :      0.567u      0.017s      0.348w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.031w      1 calls
HF: Guess                           :      0.133u      0.000s      0.077w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.074w      1 calls
HF: Form G                          :     55.083u      7.017s     37.316w     11 calls
| JK: D                             :      0.017u      0.000s      0.006w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     55.050u      7.017s     37.300w     11 calls
| | JK: (Q|mn) Read                 :      0.067u      3.950s      2.421w     45 calls
| | JK: J                           :      2.717u      0.050s      1.619w     45 calls
| | | JK: J1                        :      1.383u      0.050s      0.813w     45 calls
| | | JK: J2                        :      1.300u      0.000s      0.777w     45 calls
| | JK: K                           :     51.733u      0.167s     31.161w     45 calls
| | | JK: K1                        :     36.850u      0.100s     22.152w     45 calls
| | | JK: K2                        :     14.850u      0.067s      8.999w     45 calls
