
Host: node_13

Timers On : Tue Apr  8 10:21:22 2025
Timers Off: Tue Apr  8 10:23:55 2025

Wall Time:      152.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.350u      0.017s      0.222w      1 calls
Libint2ERI::Libint2ERI              :      1.117u      0.033s      0.687w      8 calls
JK: (A|Q)^-1                        :      6.867u      0.583s      4.216w      1 calls
JK: (A|mn)                          :      7.100u      0.017s      4.276w      3 calls
JK: (Q|mn)                          :      8.817u      0.033s      5.312w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.417s      0.243w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.323w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.015w      1 calls
HF: Guess                           :      0.117u      0.000s      0.074w      1 calls
SAD Guess                           :      0.117u      0.000s      0.070w      1 calls
HF: Form G                          :    159.317u     20.450s    108.542w     35 calls
JK: D                               :      0.000u      0.000s      0.012w     35 calls
JK: USO2AO                          :      0.150u      0.000s      0.099w     35 calls
JK: JK                              :    158.883u     20.433s    108.224w     35 calls
JK: (Q|mn) Read                     :      0.067u     10.700s      6.483w    141 calls
JK: J                               :      7.583u      0.200s      4.604w    141 calls
JK: J1                              :      3.717u      0.117s      2.323w    141 calls
JK: J2                              :      3.667u      0.000s      2.193w    141 calls
JK: K                               :    149.633u      0.383s     90.082w    141 calls
JK: K1                              :    103.917u      0.300s     62.564w    141 calls
JK: K2                              :     45.667u      0.067s     27.487w    141 calls
JK: AO2USO                          :      0.267u      0.017s      0.190w     35 calls
HF: Form F                          :      0.050u      0.000s      0.012w     35 calls
HF: Form D                          :      0.017u      0.000s      0.008w     35 calls
HF: DIIS                            :      0.933u      0.233s      0.760w     34 calls
HF: Form C                          :      0.733u      0.000s      0.433w     34 calls
Grad: V T Perturb                   :      0.800u      0.000s      0.472w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     40.133u      1.633s     25.067w      1 calls
JKGrad: Amn                         :     11.450u      0.367s      7.086w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :      8.483u      0.417s      5.352w      1 calls
JKGrad: UV                          :      1.600u      0.400s      1.191w      1 calls
JKGrad: ABx                         :      0.300u      0.083s      0.240w      1 calls
JKGrad: Amnx                        :     18.300u      0.333s     11.182w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.350u      0.017s      0.222w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.144w      1 calls
Libint2ERI::Libint2ERI              :      0.433u      0.000s      0.268w      2 calls
JK: (A|Q)^-1                        :      6.867u      0.583s      4.216w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.000w      1 calls
JK: (A|mn)                          :      7.100u      0.017s      4.276w      3 calls
JK: (Q|mn)                          :      8.817u      0.033s      5.312w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.417s      0.243w      3 calls
HF: Form core H                     :      0.533u      0.000s      0.323w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.015w      1 calls
HF: Guess                           :      0.117u      0.000s      0.074w      1 calls
| SAD Guess                         :      0.117u      0.000s      0.070w      1 calls
HF: Form G                          :    159.317u     20.450s    108.542w     35 calls
| JK: D                             :      0.000u      0.000s      0.012w     35 calls
| JK: USO2AO                        :      0.150u      0.000s      0.099w     35 calls
| JK: JK                            :    158.883u     20.433s    108.224w     35 calls
| | JK: (Q|mn) Read                 :      0.067u     10.700s      6.483w    141 calls
| | JK: J                           :      7.583u      0.200s      4.604w    141 calls
| | | JK: J1                        :      3.717u      0.117s      2.323w    141 calls
| | | JK: J2                        :      3.667u      0.000s      2.193w    141 calls
| | JK: K                           :    149.633u      0.383s     90.082w    141 calls
| | | JK: K1                        :    103.917u      0.300s     62.564w    141 calls
| | | JK: K2                        :     45.667u      0.067s     27.487w    141 calls
| JK: AO2USO                        :      0.267u      0.017s      0.190w     35 calls
HF: Form F                          :      0.050u      0.000s      0.012w     35 calls
HF: Form D                          :      0.017u      0.000s      0.008w     35 calls
HF: DIIS                            :      0.933u      0.233s      0.760w     34 calls
HF: Form C                          :      0.733u      0.000s      0.433w     34 calls
Grad: V T Perturb                   :      0.800u      0.000s      0.472w      1 calls
Grad: S                             :      0.017u      0.000s      0.017w      1 calls
Grad: JK                            :     40.133u      1.633s     25.067w      1 calls
| JKGrad: Amn                       :     11.450u      0.367s      7.086w      1 calls
| | Libint2ERI::Libint2ERI          :      0.217u      0.000s      0.139w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :      8.483u      0.417s      5.352w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      1.600u      0.400s      1.191w      1 calls
| JKGrad: ABx                       :      0.300u      0.083s      0.240w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      1 calls
| JKGrad: Amnx                      :     18.300u      0.333s     11.182w      1 calls
| | Libint2ERI::Libint2ERI          :      0.233u      0.000s      0.134w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************
