
Host: newton

Timers On : Fri Apr 25 11:49:16 2025
Timers Off: Fri Apr 25 11:51:29 2025

Wall Time:      132.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.417u      0.017s      0.263w      1 calls
Libint2ERI::Libint2ERI              :      1.383u      0.017s      0.850w      8 calls
JK: (A|Q)^-1                        :     10.350u      1.050s      6.259w      1 calls
JK: (A|mn)                          :     10.550u      0.017s      6.328w      3 calls
JK: (Q|mn)                          :     18.850u      0.017s     11.329w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.550s      0.339w      3 calls
HF: Form core H                     :      0.683u      0.017s      0.555w      1 calls
HF: Form S/X                        :      0.100u      0.017s      0.060w      1 calls
HF: Guess                           :      0.183u      0.017s      0.121w      1 calls
SAD Guess                           :      0.183u      0.017s      0.116w      1 calls
HF: Form G                          :     94.867u      9.800s     65.194w     15 calls
JK: D                               :      0.033u      0.000s      0.012w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :     94.800u      9.783s     65.166w     15 calls
JK: (Q|mn) Read                     :      0.217u      5.167s      3.204w     61 calls
JK: J                               :      3.467u      0.067s      2.148w     61 calls
JK: J1                              :      1.650u      0.067s      1.014w     61 calls
JK: J2                              :      1.767u      0.000s      1.097w     61 calls
JK: K                               :     89.983u      0.100s     54.023w     61 calls
JK: K1                              :     55.833u      0.067s     33.485w     61 calls
JK: K2                              :     34.133u      0.033s     20.531w     61 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.017s      0.006w     15 calls
HF: Form D                          :      0.017u      0.000s      0.011w     15 calls
HF: DIIS                            :      0.633u      0.133s      0.493w     14 calls
HF: Form C                          :      0.867u      0.017s      0.521w     14 calls
Grad: V T Perturb                   :      1.017u      0.000s      0.608w      1 calls
Grad: S                             :      0.033u      0.000s      0.022w      1 calls
Grad: JK                            :     60.333u      1.717s     37.523w      1 calls
JKGrad: Amn                         :     18.183u      0.417s     11.170w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     13.050u      0.433s      8.088w      1 calls
JKGrad: UV                          :      2.867u      0.400s      1.954w      1 calls
JKGrad: ABx                         :      0.367u      0.083s      0.269w      1 calls
JKGrad: Amnx                        :     25.867u      0.350s     15.730w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.417u      0.017s      0.263w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.000s      0.171w      1 calls
Libint2ERI::Libint2ERI              :      0.533u      0.017s      0.326w      2 calls
JK: (A|Q)^-1                        :     10.350u      1.050s      6.259w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     10.550u      0.017s      6.328w      3 calls
JK: (Q|mn)                          :     18.850u      0.017s     11.329w      3 calls
