
Host: newton

Timers On : Fri Apr 25 12:13:54 2025
Timers Off: Fri Apr 25 12:15:11 2025

Wall Time:       76.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.433u      0.017s      0.274w      1 calls
Libint2ERI::Libint2ERI              :      0.817u      0.017s      0.507w      4 calls
JK: (A|Q)^-1                        :     10.017u      1.033s      6.069w      1 calls
JK: (A|mn)                          :     10.233u      0.000s      6.129w      3 calls
JK: (Q|mn)                          :     18.650u      0.000s     11.193w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.700s      0.427w      3 calls
HF: Form core H                     :      0.700u      0.017s      0.575w      1 calls
HF: Form S/X                        :      0.100u      0.017s      0.060w      1 calls
HF: Guess                           :      0.167u      0.000s      0.110w      1 calls
SAD Guess                           :      0.167u      0.000s      0.107w      1 calls
HF: Form G                          :     69.750u      8.033s     47.628w     11 calls
JK: D                               :      0.017u      0.000s      0.009w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     69.717u      8.017s     47.607w     11 calls
JK: (Q|mn) Read                     :      0.150u      4.583s      2.833w     45 calls
JK: J                               :      2.633u      0.017s      1.583w     45 calls
JK: J1                              :      1.283u      0.017s      0.747w     45 calls
JK: J2                              :      1.317u      0.000s      0.806w     45 calls
JK: K                               :     66.200u      0.100s     39.798w     45 calls
JK: K1                              :     41.333u      0.033s     24.860w     45 calls
JK: K2                              :     24.867u      0.067s     14.933w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.008w     11 calls
HF: DIIS                            :      0.467u      0.200s      0.377w     10 calls
HF: Form C                          :      0.650u      0.000s      0.372w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.433u      0.017s      0.274w      1 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.017s      0.182w      1 calls
Libint2ERI::Libint2ERI              :      0.533u      0.000s      0.324w      2 calls
JK: (A|Q)^-1                        :     10.017u      1.033s      6.069w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     10.233u      0.000s      6.129w      3 calls
JK: (Q|mn)                          :     18.650u      0.000s     11.193w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.700s      0.427w      3 calls
HF: Form core H                     :      0.700u      0.017s      0.575w      1 calls
HF: Form S/X                        :      0.100u      0.017s      0.060w      1 calls
HF: Guess                           :      0.167u      0.000s      0.110w      1 calls
| SAD Guess                         :      0.167u      0.000s      0.107w      1 calls
HF: Form G                          :     69.750u      8.033s     47.628w     11 calls
| JK: D                             :      0.017u      0.000s      0.009w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     69.717u      8.017s     47.607w     11 calls
| | JK: (Q|mn) Read                 :      0.150u      4.583s      2.833w     45 calls
| | JK: J                           :      2.633u      0.017s      1.583w     45 calls
| | | JK: J1                        :      1.283u      0.017s      0.747w     45 calls
| | | JK: J2                        :      1.317u      0.000s      0.806w     45 calls
| | JK: K                           :     66.200u      0.100s     39.798w     45 calls
| | | JK: K1                        :     41.333u      0.033s     24.860w     45 calls
| | | JK: K2                        :     24.867u      0.067s     14.933w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.005w     11 calls
HF: Form D                          :      0.000u      0.000s      0.008w     11 calls
HF: DIIS                            :      0.467u      0.200s      0.377w     10 calls
HF: Form C                          :      0.650u      0.000s      0.372w     10 calls

**************************************************************************************

Host: newton

Timers On : Fri Apr 25 12:15:11 2025
Timers Off: Fri Apr 25 12:17:24 2025

Wall Time:      133.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.400u      0.017s      0.254w      1 calls
Libint2ERI::Libint2ERI              :      0.783u      0.017s      0.477w      4 calls
JK: (A|Q)^-1                        :      9.067u      0.967s      5.509w      1 calls
JK: (A|mn)                          :      9.400u      0.000s      5.629w      3 calls
JK: (Q|mn)                          :     17.117u      0.000s     10.283w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.633s      0.398w      3 calls
HF: Form core H                     :      0.667u      0.000s      0.402w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.021w      1 calls
HF: Guess                           :      0.150u      0.000s      0.091w      1 calls
SAD Guess                           :      0.150u      0.000s      0.088w      1 calls
HF: Form G                          :    154.467u     18.600s    107.083w     27 calls
JK: D                               :      0.017u      0.000s      0.013w     27 calls
JK: USO2AO                          :      0.317u      0.000s      0.134w     27 calls
JK: JK                              :    153.750u     18.583s    106.664w     27 calls
JK: (Q|mn) Read                     :      0.283u     10.250s      6.366w    109 calls
JK: J                               :      6.083u      0.150s      3.667w    109 calls
JK: J1                              :      2.867u      0.100s      1.727w    109 calls
JK: J2                              :      3.100u      0.017s      1.874w    109 calls
JK: K                               :    145.517u      0.067s     87.358w    109 calls
JK: K1                              :     87.217u      0.050s     52.395w    109 calls
JK: K2                              :     58.300u      0.017s     34.949w    109 calls
JK: AO2USO                          :      0.383u      0.017s      0.255w     27 calls
HF: Form F                          :      0.017u      0.000s      0.008w     27 calls
HF: Form D                          :      0.000u      0.000s      0.010w     27 calls
HF: DIIS                            :      0.750u      0.217s      0.630w     26 calls
HF: Form C                          :      0.900u      0.000s      0.518w     26 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.400u      0.017s      0.254w      1 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.017s      0.166w      1 calls
Libint2ERI::Libint2ERI              :      0.517u      0.000s      0.310w      2 calls
JK: (A|Q)^-1                        :      9.067u      0.967s      5.509w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
JK: (A|mn)                          :      9.400u      0.000s      5.629w      3 calls
JK: (Q|mn)                          :     17.117u      0.000s     10.283w      3 calls
JK: (Q|mn) Write                    :      0.033u      0.633s      0.398w      3 calls
HF: Form core H                     :      0.667u      0.000s      0.402w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.021w      1 calls
HF: Guess                           :      0.150u      0.000s      0.091w      1 calls
| SAD Guess                         :      0.150u      0.000s      0.088w      1 calls
HF: Form G                          :    154.467u     18.600s    107.083w     27 calls
| JK: D                             :      0.017u      0.000s      0.013w     27 calls
| JK: USO2AO                        :      0.317u      0.000s      0.134w     27 calls
| JK: JK                            :    153.750u     18.583s    106.664w     27 calls
| | JK: (Q|mn) Read                 :      0.283u     10.250s      6.366w    109 calls
| | JK: J                           :      6.083u      0.150s      3.667w    109 calls
| | | JK: J1                        :      2.867u      0.100s      1.727w    109 calls
| | | JK: J2                        :      3.100u      0.017s      1.874w    109 calls
| | JK: K                           :    145.517u      0.067s     87.358w    109 calls
| | | JK: K1                        :     87.217u      0.050s     52.395w    109 calls
| | | JK: K2                        :     58.300u      0.017s     34.949w    109 calls
| JK: AO2USO                        :      0.383u      0.017s      0.255w     27 calls
HF: Form F                          :      0.017u      0.000s      0.008w     27 calls
HF: Form D                          :      0.000u      0.000s      0.010w     27 calls
