
Host: newton

Timers On : Fri Apr 25 14:37:21 2025
Timers Off: Fri Apr 25 14:43:02 2025

Wall Time:      340.89 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.567u      0.017s      0.354w      1 calls
Libint2ERI::Libint2ERI              :      1.867u      0.017s      1.128w      8 calls
JK: (A|Q)^-1                        :     13.633u      1.433s      8.254w      1 calls
JK: (A|mn)                          :     12.650u      0.017s      7.581w      4 calls
JK: (Q|mn)                          :     26.400u      0.000s     15.841w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.650s      0.421w      4 calls
HF: Form core H                     :      1.017u      0.017s      0.804w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.030w      1 calls
HF: Guess                           :      0.150u      0.000s      0.091w      1 calls
SAD Guess                           :      0.150u      0.000s      0.088w      1 calls
HF: Form G                          :    376.500u     31.567s    250.515w     42 calls
JK: D                               :      0.050u      0.000s      0.027w     42 calls
JK: USO2AO                          :      0.483u      0.000s      0.318w     42 calls
JK: JK                              :    374.950u     31.533s    249.548w     42 calls
JK: (Q|mn) Read                     :      0.483u     18.467s     11.312w    212 calls
JK: J                               :     12.383u      0.133s      7.615w    212 calls
JK: J1                              :      5.950u      0.050s      3.603w    212 calls
JK: J2                              :      6.217u      0.017s      3.867w    212 calls
JK: K                               :    358.867u      0.267s    215.415w    212 calls
JK: K1                              :    196.233u      0.217s    117.854w    212 calls
JK: K2                              :    162.600u      0.050s     97.528w    212 calls
JK: AO2USO                          :      0.950u      0.033s      0.588w     42 calls
HF: Form F                          :      0.000u      0.000s      0.014w     42 calls
HF: Form D                          :      0.000u      0.000s      0.024w     42 calls
HF: DIIS                            :      1.333u      0.433s      1.066w     41 calls
HF: Form C                          :      2.017u      0.000s      1.200w     41 calls
Grad: V T Perturb                   :      1.400u      0.000s      0.832w      1 calls
Grad: S                             :      0.033u      0.000s      0.027w      1 calls
Grad: JK                            :     80.883u      2.350s     50.408w      1 calls
JKGrad: Amn                         :     22.617u      0.567s     13.901w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     18.817u      0.633s     11.676w      1 calls
JKGrad: UV                          :      5.050u      0.583s      3.376w      1 calls
JKGrad: ABx                         :      0.517u      0.100s      0.375w      1 calls
JKGrad: Amnx                        :     33.867u      0.417s     20.572w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.567u      0.017s      0.354w      1 calls
| Libint2ERI::Libint2ERI            :      0.367u      0.017s      0.228w      1 calls
Libint2ERI::Libint2ERI              :      0.733u      0.000s      0.438w      2 calls
JK: (A|Q)^-1                        :     13.633u      1.433s      8.254w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     12.650u      0.017s      7.581w      4 calls
JK: (Q|mn)                          :     26.400u      0.000s     15.841w      4 calls
JK: (Q|mn) Write                    :      0.017u      0.650s      0.421w      4 calls
HF: Form core H                     :      1.017u      0.017s      0.804w      1 calls
HF: Form S/X                        :      0.033u      0.017s      0.030w      1 calls
HF: Guess                           :      0.150u      0.000s      0.091w      1 calls
| SAD Guess                         :      0.150u      0.000s      0.088w      1 calls
HF: Form G                          :    376.500u     31.567s    250.515w     42 calls
| JK: D                             :      0.050u      0.000s      0.027w     42 calls
| JK: USO2AO                        :      0.483u      0.000s      0.318w     42 calls
| JK: JK                            :    374.950u     31.533s    249.548w     42 calls
| | JK: (Q|mn) Read                 :      0.483u     18.467s     11.312w    212 calls
| | JK: J                           :     12.383u      0.133s      7.615w    212 calls
| | | JK: J1                        :      5.950u      0.050s      3.603w    212 calls
| | | JK: J2                        :      6.217u      0.017s      3.867w    212 calls
| | JK: K                           :    358.867u      0.267s    215.415w    212 calls
| | | JK: K1                        :    196.233u      0.217s    117.854w    212 calls
| | | JK: K2                        :    162.600u      0.050s     97.528w    212 calls
| JK: AO2USO                        :      0.950u      0.033s      0.588w     42 calls
HF: Form F                          :      0.000u      0.000s      0.014w     42 calls
HF: Form D                          :      0.000u      0.000s      0.024w     42 calls
HF: DIIS                            :      1.333u      0.433s      1.066w     41 calls
HF: Form C                          :      2.017u      0.000s      1.200w     41 calls
Grad: V T Perturb                   :      1.400u      0.000s      0.832w      1 calls
Grad: S                             :      0.033u      0.000s      0.027w      1 calls
Grad: JK                            :     80.883u      2.350s     50.408w      1 calls
| JKGrad: Amn                       :     22.617u      0.567s     13.901w      1 calls
| | Libint2ERI::Libint2ERI          :      0.383u      0.000s      0.236w      1 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      1 calls
| JKGrad: AB                        :     18.817u      0.633s     11.676w      1 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.000w      1 calls
| JKGrad: UV                        :      5.050u      0.583s      3.376w      1 calls
| JKGrad: ABx                       :      0.517u      0.100s      0.375w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w      1 calls
| JKGrad: Amnx                      :     33.867u      0.417s     20.572w      1 calls
| | Libint2ERI::Libint2ERI          :      0.367u      0.000s      0.224w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

**************************************************************************************
