
Host: node09.cluster

Timers On : Fri Apr 24 23:54:33 2026
Timers Off: Sat Apr 25 00:00:10 2026

Wall Time:      337.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.733u      0.000s      0.443w      1 calls
Libint2ERI::Libint2ERI              :      2.267u      0.000s      1.373w      8 calls
JK: (A|Q)^-1                        :     44.033u      0.967s     26.700w      1 calls
JK: (A|mn)                          :     10.950u      0.083s      6.661w      3 calls
JK: (Q|mn)                          :     68.483u      0.200s     41.383w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.550s      0.329w      3 calls
HF: Form core H                     :      1.033u      0.017s      0.895w      1 calls
HF: Form S/X                        :      0.183u      0.000s      0.119w      1 calls
HF: Guess                           :      0.183u      0.017s      0.115w      1 calls
SAD Guess                           :      0.167u      0.017s      0.110w      1 calls
HF: Form G                          :    262.983u      7.967s    165.723w     15 calls
JK: D                               :      0.067u      0.000s      0.041w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :    262.917u      7.967s    165.659w     15 calls
JK: (Q|mn) Read                     :      0.100u      6.600s      4.019w     76 calls
JK: J                               :      4.533u      0.000s      2.791w     76 calls
JK: J1                              :      2.250u      0.000s      1.337w     76 calls
JK: J2                              :      2.167u      0.000s      1.389w     76 calls
JK: K                               :    257.333u      0.000s    155.026w     76 calls
JK: K1                              :    119.683u      0.000s     72.191w     76 calls
JK: K2                              :    137.633u      0.000s     82.823w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.017u      0.000s      0.011w     15 calls
HF: Form D                          :      0.067u      0.000s      0.040w     15 calls
HF: DIIS                            :      1.367u      0.283s      1.171w     14 calls
HF: Form C                          :      2.500u      0.000s      1.484w     14 calls
Grad: V T Perturb                   :      1.550u      0.000s      0.930w      1 calls
Grad: S                             :      0.050u      0.000s      0.032w      1 calls
Grad: JK                            :    142.683u      0.967s     86.942w      1 calls
JKGrad: Amn                         :     27.967u      0.233s     17.005w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     55.450u      0.267s     33.568w      1 calls
JKGrad: UV                          :     12.433u      0.267s      7.655w      1 calls
JKGrad: ABx                         :      0.567u      0.033s      0.358w      1 calls
