
Host: node09.cluster

Timers On : Sat Apr 25 11:28:00 2026
Timers Off: Sat Apr 25 11:31:24 2026

Wall Time:      203.72 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.717u      0.017s      0.443w      1 calls
Libint2ERI::Libint2ERI              :      1.350u      0.017s      0.826w      4 calls
JK: (A|Q)^-1                        :     43.183u      0.783s     26.062w      1 calls
JK: (A|mn)                          :     10.567u      0.000s      6.372w      3 calls
JK: (Q|mn)                          :     68.633u      0.000s     41.359w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.450s      0.276w      3 calls
HF: Form core H                     :      1.033u      0.000s      0.776w      1 calls
HF: Form S/X                        :      0.183u      0.000s      0.117w      1 calls
HF: Guess                           :      0.183u      0.000s      0.112w      1 calls
SAD Guess                           :      0.167u      0.000s      0.109w      1 calls
HF: Form G                          :    194.267u      5.817s    122.229w     11 calls
JK: D                               :      0.050u      0.000s      0.031w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :    194.200u      5.817s    122.182w     11 calls
JK: (Q|mn) Read                     :      0.017u      4.783s      2.913w     56 calls
JK: J                               :      3.483u      0.017s      2.053w     56 calls
JK: J1                              :      1.700u      0.000s      0.985w     56 calls
JK: J2                              :      1.733u      0.000s      1.020w     56 calls
JK: K                               :    190.000u      0.000s    114.550w     56 calls
JK: K1                              :     88.100u      0.000s     53.178w     56 calls
JK: K2                              :    101.883u      0.000s     61.364w     56 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.008w     11 calls
HF: Form D                          :      0.050u      0.000s      0.029w     11 calls
HF: DIIS                            :      1.050u      0.217s      0.902w     10 calls
HF: Form C                          :      1.750u      0.000s      1.060w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.717u      0.017s      0.443w      1 calls
| Libint2ERI::Libint2ERI            :      0.450u      0.017s      0.283w      1 calls
Libint2ERI::Libint2ERI              :      0.900u      0.000s      0.543w      2 calls
JK: (A|Q)^-1                        :     43.183u      0.783s     26.062w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
JK: (A|mn)                          :     10.567u      0.000s      6.372w      3 calls
JK: (Q|mn)                          :     68.633u      0.000s     41.359w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.450s      0.276w      3 calls
HF: Form core H                     :      1.033u      0.000s      0.776w      1 calls
HF: Form S/X                        :      0.183u      0.000s      0.117w      1 calls
HF: Guess                           :      0.183u      0.000s      0.112w      1 calls
| SAD Guess                         :      0.167u      0.000s      0.109w      1 calls
