
Host: node09.cluster

Timers On : Sat Apr 25 14:11:56 2026
Timers Off: Sat Apr 25 14:17:32 2026

Wall Time:      336.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.733u      0.017s      0.444w      1 calls
Libint2ERI::Libint2ERI              :      2.283u      0.017s      1.383w      8 calls
JK: (A|Q)^-1                        :     43.300u      0.933s     26.174w      1 calls
JK: (A|mn)                          :     10.600u      0.000s      6.400w      3 calls
JK: (Q|mn)                          :     68.717u      0.000s     41.380w      3 calls
JK: (Q|mn) Write                    :      0.017u      0.433s      0.270w      3 calls
HF: Form core H                     :      1.017u      0.000s      0.735w      1 calls
HF: Form S/X                        :      0.200u      0.000s      0.117w      1 calls
HF: Guess                           :      0.183u      0.000s      0.111w      1 calls
SAD Guess                           :      0.167u      0.000s      0.108w      1 calls
HF: Form G                          :    263.367u      7.733s    165.620w     15 calls
JK: D                               :      0.017u      0.000s      0.041w     15 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     15 calls
JK: JK                              :    263.317u      7.733s    165.559w     15 calls
JK: (Q|mn) Read                     :      0.067u      6.250s      3.860w     76 calls
JK: J                               :      4.617u      0.017s      2.836w     76 calls
JK: J1                              :      2.250u      0.017s      1.365w     76 calls
JK: J2                              :      2.267u      0.000s      1.406w     76 calls
JK: K                               :    257.617u      0.017s    155.180w     76 calls
JK: K1                              :    120.317u      0.000s     72.494w     76 calls
JK: K2                              :    137.283u      0.000s     82.675w     76 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     15 calls
HF: Form F                          :      0.000u      0.000s      0.011w     15 calls
HF: Form D                          :      0.083u      0.000s      0.040w     15 calls
HF: DIIS                            :      1.350u      0.217s      1.090w     14 calls
HF: Form C                          :      2.433u      0.000s      1.483w     14 calls
Grad: V T Perturb                   :      1.550u      0.000s      0.932w      1 calls
Grad: S                             :      0.050u      0.000s      0.032w      1 calls
Grad: JK                            :    142.517u      1.033s     87.283w      1 calls
JKGrad: Amn                         :     28.000u      0.217s     17.002w      1 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      1 calls
JKGrad: AB                          :     55.583u      0.267s     33.656w      1 calls
JKGrad: UV                          :     12.433u      0.300s      7.670w      1 calls
JKGrad: ABx                         :      0.567u      0.050s      0.367w      1 calls
JKGrad: Amnx                        :     45.933u      0.167s     27.797w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls

--------------------------------------------------------------------------------------
